sep=;
acc_x;acc_y;acc_z;grav_x;grav_y;grav_z;lin_acc_x;lin_acc_y;lin_acc_z;gyro_x;gyro_y;gyro_z;mag_x;mag_y;mag_z;sound_lvl;time_ms;date_time
-2.571;1.913;10.071;-2.589;2.653;9.079;0.886;-0.177;0.485;0.516;0.309;0.891;10.2;-38.7;9.2;49.71;22;2018-04-16 22:26:06:287
-3.365;3.481;7.447;-2.593;2.731;9.055;-0.772;0.75;-1.607;0.516;0.309;0.891;10.2;-38.7;9.2;49.71;31;2018-04-16 22:26:06:296
-2.09;4.421;5.808;-2.593;2.731;9.055;-0.772;0.75;-1.607;0.39;0.045;0.728;10.4;-38.5;9.6;49.71;42;2018-04-16 22:26:06:307
-2.09;4.421;5.808;-2.56;2.837;9.032;0.353;1.481;-3.123;0.39;0.045;0.728;10.4;-38.5;9.6;49.71;52;2018-04-16 22:26:06:317
-1.958;4.005;6.941;-2.56;2.837;9.032;0.353;1.481;-3.123;0.208;-0.214;0.505;10.5;-38.4;9.7;49.71;62;2018-04-16 22:26:06:327
-1.34;3.772;8.179;-2.45;2.874;9.05;1.111;0.898;-0.872;0.066;-0.467;0.37;10.6;-38.3;9.6;49.71;72;2018-04-16 22:26:06:337
-1.34;3.772;8.179;-2.45;2.874;9.05;1.111;0.898;-0.872;0.066;-0.467;0.37;10.6;-38.3;9.6;49.71;82;2018-04-16 22:26:06:347
-2.161;3.549;8.841;-2.377;2.892;9.064;0.216;0.657;-0.223;0.133;-0.826;0.162;10.7;-38.2;9.6;49.71;92;2018-04-16 22:26:06:357
-2.161;3.549;8.841;-2.377;2.892;9.064;0.216;0.657;-0.223;0.133;-0.826;0.162;10.7;-38.2;9.6;49.49;102;2018-04-16 22:26:06:367
-1.802;3.091;9.188;-2.194;2.932;9.097;0.392;0.159;0.09;0.182;-0.99;0.045;10.7;-38.2;9.7;49.49;114;2018-04-16 22:26:06:379
-1.535;2.866;9.11;-1.99;2.964;9.134;0.669;-0.01;-0.294;0.2;-1.156;0.015;10.7;-38.3;9.8;49.49;122;2018-04-16 22:26:06:387
-1.535;2.866;9.11;-1.99;2.964;9.134;0.669;-0.01;-0.294;0.2;-1.156;0.015;10.7;-38.3;9.8;49.49;132;2018-04-16 22:26:06:397
-0.757;3.32;8.053;-1.836;2.997;9.155;1.08;0.322;-1.102;0.316;-1.515;0.042;10.8;-38.2;9.8;49.49;142;2018-04-16 22:26:06:407
0.912;4.387;6.367;-1.491;3.051;9.2;2.403;1.337;-2.833;0.274;-2.007;-0.114;10.8;-38.2;9.8;49.49;152;2018-04-16 22:26:06:417
0.912;4.387;6.367;-1.491;3.051;9.2;2.403;1.337;-2.833;0.274;-2.007;-0.114;10.8;-38.1;9.9;49.49;162;2018-04-16 22:26:06:427
0.722;4.435;7.149;-1.092;3.037;9.26;1.796;1.154;-1.375;-0.016;-2.302;-0.403;10.9;-38.1;10.0;49.49;172;2018-04-16 22:26:06:437
0.722;4.435;7.149;-1.092;3.037;9.26;1.796;1.154;-1.375;-0.016;-2.302;-0.403;10.9;-38.1;10.0;49.49;184;2018-04-16 22:26:06:449
0.924;3.266;9.711;-0.951;2.992;9.291;1.875;0.274;0.42;-0.483;-1.811;-0.529;11.0;-38.0;10.1;49.49;192;2018-04-16 22:26:06:457
0.924;3.266;9.711;-0.951;2.992;9.291;1.875;0.274;0.42;-0.483;-1.811;-0.529;11.0;-38.0;10.1;49.49;202;2018-04-16 22:26:06:467
-1.035;1.444;8.21;-0.758;2.829;9.359;-0.278;-1.386;-1.149;-0.842;-1.08;-0.487;11.2;-38.0;10.1;49.49;211;2018-04-16 22:26:06:476
1.219;0.712;7.672;-0.386;2.724;9.413;2.046;-1.93;-1.643;-0.571;-1.878;0.356;11.3;-38.0;10.1;49.49;222;2018-04-16 22:26:06:487
1.219;0.712;7.672;-0.386;2.724;9.413;2.046;-1.93;-1.643;-0.571;-1.878;0.356;11.3;-38.0;10.1;49.49;232;2018-04-16 22:26:06:497
