sep=;
acc_x;acc_y;acc_z;grav_x;grav_y;grav_z;lin_acc_x;lin_acc_y;lin_acc_z;gyro_x;gyro_y;gyro_z;mag_x;mag_y;mag_z;sound_lvl;time_ms;date_time
-1.288;2.83;9.914;-3.854;2.026;8.787;2.895;0.765;1.204;0.037;-0.474;0.303;-4.6;-33.0;9.1;48.46;11;2018-04-16 22:56:21:409
-3.152;2.369;9.09;-3.889;2.012;8.775;0.737;0.357;0.315;-0.396;0.593;0.458;-4.6;-33.2;8.6;48.46;20;2018-04-16 22:56:21:418
-1.405;2.303;8.22;-4.072;1.946;8.706;2.666;0.357;-0.486;-0.8;1.509;0.826;-5.3;-33.0;7.2;48.46;32;2018-04-16 22:56:21:430
-1.405;2.303;8.22;-4.072;1.946;8.706;2.666;0.357;-0.486;-0.8;1.509;0.826;-5.3;-33.0;7.2;48.46;40;2018-04-16 22:56:21:438
-0.638;4.859;7.623;-4.111;1.925;8.693;3.696;3.28;-0.238;-0.535;0.327;0.676;-5.1;-33.1;7.1;48.46;51;2018-04-16 22:56:21:449
-0.638;4.859;7.623;-4.111;1.925;8.693;3.696;3.28;-0.238;-0.535;0.327;0.676;-5.1;-33.1;7.1;48.46;61;2018-04-16 22:56:21:459
-0.563;4.64;7.846;-4.048;1.962;8.714;3.486;2.678;-0.868;0.23;-0.54;0.172;-5.4;-33.3;8.2;48.46;71;2018-04-16 22:56:21:469
-2.331;2.822;7.412;-3.868;2.022;8.782;1.537;0.799;-1.37;0.432;-1.092;-0.165;-5.4;-33.3;8.2;48.46;81;2018-04-16 22:56:21:479
-2.331;2.822;7.412;-3.868;2.022;8.782;1.537;0.799;-1.37;0.345;-1.169;-0.244;-5.1;-33.2;7.9;48.46;91;2018-04-16 22:56:21:489
-2.923;1.856;9.09;-3.648;2.061;8.866;0.853;-0.358;0.35;0.287;-1.247;-0.214;-4.8;-33.3;8.0;48.46;100;2018-04-16 22:56:21:498
-2.872;1.488;9.264;-3.648;2.061;8.866;0.853;-0.358;0.35;0.601;-1.527;-0.098;-4.8;-33.3;8.0;48.46;110;2018-04-16 22:56:21:508
-2.872;1.488;9.264;-3.33;2.203;8.957;0.27;-1.018;-0.359;0.601;-1.527;-0.098;-4.5;-33.3;8.2;48.46;120;2018-04-16 22:56:21:518
-2.745;1.083;7.871;-3.33;2.203;8.957;0.27;-1.018;-0.359;1.3;-2.283;0.032;-4.5;-33.3;8.2;48.46;131;2018-04-16 22:56:21:529
-1.671;1.712;5.763;-2.757;2.538;9.062;1.086;-0.827;-3.299;1.792;-3.048;0.142;-4.1;-33.3;8.5;48.46;141;2018-04-16 22:56:21:539
-1.512;2.242;5.012;-2.388;2.731;9.111;1.981;-0.056;-4.784;2.204;-4.016;0.197;-4.0;-33.3;8.7;48.46;151;2018-04-16 22:56:21:549
-1.512;2.242;5.012;-2.388;2.731;9.111;1.981;-0.056;-4.784;2.204;-4.016;0.197;-4.0;-33.3;8.7;48.46;161;2018-04-16 22:56:21:559
2.954;3.853;5.069;-1.311;3.176;9.185;5.827;0.345;-3.537;2.434;-5.962;0.005;-3.7;-33.2;8.9;48.46;171;2018-04-16 22:56:21:569
2.954;3.853;5.069;-1.311;3.176;9.185;5.827;0.345;-3.537;2.434;-5.962;0.005;-3.7;-33.2;8.9;48.46;180;2018-04-16 22:56:21:578
5.556;2.495;7.038;-0.631;3.404;9.175;6.187;-0.909;-2.137;2.341;-6.804;-0.75;-3.3;-33.1;9.3;48.46;192;2018-04-16 22:56:21:590
-0.792;2.124;9.118;0.496;3.806;9.024;-1.288;-1.682;0.094;2.227;-6.544;-1.692;-3.3;-33.1;9.3;48.46;200;2018-04-16 22:56:21:598
-0.792;2.124;9.118;0.496;3.806;9.024;-1.288;-1.682;0.094;2.227;-6.544;-1.692;-2.9;-32.9;9.7;48.46;210;2018-04-16 22:56:21:608
-4.138;2.746;9.358;0.926;3.987;8.911;-5.064;-1.241;0.446;2.175;-6.034;-1.406;-2.5;-32.7;9.9;50.91;220;2018-04-16 22:56:21:618
-4.138;2.746;9.358;0.926;3.987;8.911;-5.064;-1.241;0.446;2.175;-6.034;-1.406;-2.5;-32.7;9.9;50.91;232;2018-04-16 22:56:21:630
-2.375;1.417;6.019;2.403;4.635;8.301;-3.222;-3.791;-3.248;2.855;-5.054;1.361;1.2;-31.1;12.8;50.91;241;2018-04-16 22:56:21:639
-2.375;1.417;6.019;2.403;4.635;8.301;-3.222;-3.791;-3.248;2.855;-5.054;1.361;1.2;-31.1;12.8;50.91;250;2018-04-16 22:56:21:648
0.909;0.415;3.868;2.865;4.816;8.048;-0.993;-4.552;-4.948;3.062;-5.067;1.883;2.6;-30.0;13.1;50.91;260;2018-04-16 22:56:21:658
4.865;0.897;-0.566;3.908;5.146;7.377;0.957;-4.249;-7.943;2.935;-5.683;2.0;2.6;-30.0;13.1;50.91;271;2018-04-16 22:56:21:669
4.865;0.897;-0.566;3.908;5.146;7.377;0.957;-4.249;-7.943;2.794;-6.136;1.901;4.8;-28.8;14.8;50.91;281;2018-04-16 22:56:21:679
3.476;1.426;0.124;4.971;5.368;6.53;-2.09;-4.038;-6.15;2.794;-6.136;1.901;4.8;-28.8;14.8;50.91;291;2018-04-16 22:56:21:689
1.845;0.883;0.87;4.971;5.368;6.53;-2.09;-4.038;-6.15;2.717;-6.386;1.717;6.5;-28.2;14.5;50.91;301;2018-04-16 22:56:21:699
