sep=;
acc_x;acc_y;acc_z;grav_x;grav_y;grav_z;lin_acc_x;lin_acc_y;lin_acc_z;gyro_x;gyro_y;gyro_z;mag_x;mag_y;mag_z;sound_lvl;time_ms;date_time
-0.433;2.562;8.775;-0.706;2.615;9.425;-0.057;-0.094;-0.555;0.112;-0.109;-0.12;-6.2;-31.0;8.5;50.49;32;2018-04-16 22:38:41:298
-0.433;2.562;8.775;-0.706;2.615;9.425;-0.057;-0.094;-0.555;0.112;-0.109;-0.12;-6.2;-31.0;8.5;50.49;41;2018-04-16 22:38:41:307
-0.292;2.705;8.588;-0.697;2.622;9.424;0.404;0.083;-0.836;0.086;-0.139;-0.145;-6.1;-31.0;8.6;50.49;51;2018-04-16 22:38:41:317
-0.071;2.553;8.452;-0.697;2.622;9.424;0.404;0.083;-0.836;0.093;-0.446;-0.26;-6.1;-31.0;8.6;50.49;62;2018-04-16 22:38:41:328
-0.071;2.553;8.452;-0.588;2.651;9.423;0.546;-0.196;-0.889;0.093;-0.446;-0.26;-5.8;-31.1;8.5;50.49;72;2018-04-16 22:38:41:338
0.145;2.394;8.531;-0.588;2.651;9.423;0.546;-0.196;-0.889;0.321;-0.908;-0.305;-5.8;-31.1;8.5;50.49;82;2018-04-16 22:38:41:348
1.022;2.94;9.173;-0.399;2.729;9.411;0.976;-0.039;-0.641;0.817;-1.637;-0.353;-5.6;-31.1;8.5;50.49;92;2018-04-16 22:38:41:358
1.022;2.94;9.173;-0.399;2.729;9.411;0.976;-0.039;-0.641;0.817;-1.637;-0.353;-5.6;-31.1;8.5;50.49;102;2018-04-16 22:38:41:368
1.684;3.098;9.349;-0.05;2.922;9.361;1.527;0.21;0.067;1.189;-2.128;-0.409;-5.4;-31.1;8.5;50.49;112;2018-04-16 22:38:41:378
1.684;3.098;9.349;-0.05;2.922;9.361;1.527;0.21;0.067;1.565;-2.625;-0.487;-5.4;-31.1;8.5;50.49;121;2018-04-16 22:38:41:387
3.378;2.349;6.084;0.477;3.253;9.239;2.901;-0.904;-3.155;1.857;-3.1;-0.49;-5.2;-31.2;8.5;50.49;132;2018-04-16 22:38:41:398
3.378;2.349;6.084;0.477;3.253;9.239;2.901;-0.904;-3.155;1.857;-3.1;-0.49;-5.2;-31.2;8.5;50.49;142;2018-04-16 22:38:41:408
3.378;2.349;6.084;0.477;3.253;9.239;2.901;-0.904;-3.155;1.857;-3.1;-0.49;-5.2;-31.2;8.5;50.49;151;2018-04-16 22:38:41:417
3.949;1.519;6.245;1.093;3.565;9.07;2.856;-2.046;-2.825;1.621;-3.749;-0.743;-4.9;-31.2;8.7;50.49;161;2018-04-16 22:38:41:427
3.949;1.519;6.245;1.093;3.565;9.07;2.856;-2.046;-2.825;1.021;-3.657;-1.356;-4.9;-31.2;8.7;50.49;171;2018-04-16 22:38:41:437
1.354;1.979;6.231;1.905;3.881;8.802;0.193;-2.137;-2.688;0.604;-3.49;-1.262;-4.2;-31.1;9.2;50.49;182;2018-04-16 22:38:41:448
1.354;1.979;6.231;1.905;3.881;8.802;0.193;-2.137;-2.688;0.604;-3.49;-1.262;-4.2;-31.1;9.2;50.49;191;2018-04-16 22:38:41:457
1.24;2.506;7.416;2.395;3.913;8.667;-1.155;-1.407;-1.251;-0.07;-3.195;-0.832;-3.7;-31.0;9.5;50.49;203;2018-04-16 22:38:41:469
1.24;2.506;7.416;2.395;3.913;8.667;-1.155;-1.407;-1.251;-0.07;-3.195;-0.832;-3.7;-31.0;9.5;50.49;212;2018-04-16 22:38:41:478
2.024;3.13;8.539;2.733;3.814;8.611;-0.708;-0.684;-0.072;-0.789;-1.785;-0.302;-2.7;-30.8;9.6;50.49;223;2018-04-16 22:38:41:489
2.024;3.13;8.539;2.733;3.814;8.611;-0.708;-0.684;-0.072;-0.789;-1.785;-0.302;-2.7;-30.8;9.6;50.49;232;2018-04-16 22:38:41:498
