sep=;
acc_x;acc_y;acc_z;grav_x;grav_y;grav_z;lin_acc_x;lin_acc_y;lin_acc_z;gyro_x;gyro_y;gyro_z;mag_x;mag_y;mag_z;sound_lvl;time_ms;date_time
3.809;-6.212;9.134;7.362;1.894;6.195;-3.553;-8.105;2.938;0.762;-6.646;3.796;-1.9;-34.3;6.5;41.78;7;2018-04-16 23:27:34:995
6.161;-4.348;3.667;8.266;1.339;5.104;-2.104;-5.687;-1.438;1.602;-6.785;4.634;-1.9;-34.1;6.8;41.78;17;2018-04-16 23:27:35:005
6.161;-4.348;3.667;8.266;1.339;5.104;-2.104;-5.687;-1.438;1.933;-7.638;5.209;-1.9;-34.1;6.8;41.78;27;2018-04-16 23:27:35:015
8.921;-2.765;2.538;8.266;1.339;5.104;-2.104;-5.687;-1.438;1.933;-7.638;5.209;-1.9;-34.1;6.8;41.78;37;2018-04-16 23:27:35:025
8.921;-2.765;2.538;9.072;0.575;3.679;-0.151;-3.34;-1.141;2.136;-8.217;5.459;-2.0;-33.6;7.7;41.78;47;2018-04-16 23:27:35:035
11.327;-2.811;3.843;9.582;-0.345;2.058;2.54;-3.061;2.385;2.454;-8.447;5.582;-2.0;-32.5;9.9;41.78;58;2018-04-16 23:27:35:046
11.327;-2.811;3.843;9.582;-0.345;2.058;2.54;-3.061;2.385;2.454;-8.447;5.582;-2.0;-32.5;9.9;41.78;67;2018-04-16 23:27:35:055
12.285;-2.94;6.491;9.675;-0.769;1.405;2.61;-2.171;5.086;2.964;-8.059;5.642;-2.0;-31.8;11.0;41.78;77;2018-04-16 23:27:35:065
12.285;-2.94;6.491;9.675;-0.769;1.405;2.61;-2.171;5.086;2.964;-8.059;5.642;-2.0;-31.8;11.0;41.78;89;2018-04-16 23:27:35:077
14.706;-0.819;6.11;9.629;-1.846;0.214;5.077;1.027;5.896;3.219;-5.984;5.866;-2.0;-31.0;12.7;50.29;98;2018-04-16 23:27:35:086
16.549;0.481;5.824;9.49;-2.458;-0.248;7.058;2.939;6.071;3.198;-5.025;5.709;-1.8;-29.5;14.7;50.29;109;2018-04-16 23:27:35:097
16.549;0.481;5.824;9.49;-2.458;-0.248;7.058;2.939;6.071;3.198;-5.025;5.709;-1.8;-29.5;14.7;50.29;118;2018-04-16 23:27:35:106
20.364;2.837;4.365;9.151;-3.44;-0.772;11.213;6.277;5.137;3.351;-3.552;4.828;-1.8;-27.5;16.5;50.29;128;2018-04-16 23:27:35:116
21.335;3.524;3.484;9.0;-3.79;-0.898;11.364;6.627;5.262;3.403;-2.941;4.128;-1.6;-26.7;18.6;50.29;138;2018-04-16 23:27:35:126
21.335;3.524;3.484;9.0;-3.79;-0.898;11.364;6.627;5.262;3.403;-2.941;4.128;-1.6;-26.7;18.6;50.29;147;2018-04-16 23:27:35:135
21.744;5.244;0.479;8.723;-4.365;-1.014;13.021;9.61;1.493;3.403;-2.023;2.363;-1.3;-23.6;21.0;50.29;157;2018-04-16 23:27:35:145
18.569;4.936;-2.173;8.603;-4.599;-1.007;9.967;9.535;-1.166;3.225;-1.552;0.486;-1.7;-21.9;20.0;50.29;168;2018-04-16 23:27:35:156
18.569;4.936;-2.173;8.603;-4.599;-1.007;9.967;9.535;-1.166;3.007;-1.379;-0.231;-1.7;-21.9;20.0;50.29;178;2018-04-16 23:27:35:166
17.103;4.28;-6.964;8.629;-4.556;-0.972;8.474;8.836;-5.992;2.717;-1.286;-0.599;-0.8;-20.5;22.6;50.29;188;2018-04-16 23:27:35:176
17.103;4.28;-6.964;8.629;-4.556;-0.972;8.474;8.836;-5.992;2.717;-1.286;-0.599;-0.8;-20.5;22.6;50.29;198;2018-04-16 23:27:35:186
13.258;2.783;-14.044;8.694;-4.438;-0.945;5.329;7.518;-9.819;1.406;-0.437;-1.401;-0.7;-19.6;23.1;50.29;207;2018-04-16 23:27:35:195
13.258;2.783;-14.044;8.694;-4.438;-0.945;5.329;7.518;-9.819;1.406;-0.437;-1.401;-0.7;-19.6;23.1;50.29;217;2018-04-16 23:27:35:205
8.66;-0.116;-8.226;8.855;-4.124;-0.87;2.47;5.364;-14.957;-2.496;1.688;-1.614;0.2;-17.7;25.6;50.29;227;2018-04-16 23:27:35:215
6.175;-0.468;-1.79;8.96;-3.887;-0.879;-2.786;3.419;-0.911;-2.536;1.417;-1.274;0.0;-19.5;24.7;50.29;237;2018-04-16 23:27:35:225
5.41;-1.045;0.31;8.96;-3.887;-0.879;-2.786;3.419;-0.911;-0.827;-0.417;-0.643;0.0;-19.5;24.7;50.29;248;2018-04-16 23:27:35:236
5.41;-1.045;0.31;8.974;-3.807;-1.068;-3.912;2.157;0.478;-0.827;-0.417;-0.643;-0.7;-20.7;24.0;50.29;257;2018-04-16 23:27:35:245
5.41;-1.045;0.31;8.974;-3.807;-1.068;-3.912;2.157;0.478;-0.827;-0.417;-0.643;-0.7;-20.7;24.0;50.29;267;2018-04-16 23:27:35:255
4.869;-2.105;-1.882;8.947;-3.829;-1.209;-4.078;1.725;-0.673;0.65;-2.005;0.189;-0.7;-20.4;24.0;50.29;277;2018-04-16 23:27:35:265
5.99;-1.308;-1.031;8.821;-4.023;-1.475;-4.551;1.779;0.925;1.06;-1.682;1.224;1.1;-19.8;24.1;50.29;287;2018-04-16 23:27:35:275
5.99;-1.308;-1.031;8.821;-4.023;-1.475;-4.551;1.779;0.925;1.06;-1.682;1.224;1.1;-19.8;24.1;50.29;298;2018-04-16 23:27:35:286
7.417;-0.609;-1.44;8.724;-4.199;-1.562;-1.306;3.589;0.122;1.124;-1.385;1.543;1.0;-19.5;25.5;50.29;308;2018-04-16 23:27:35:296
