sep=;
acc_x;acc_y;acc_z;grav_x;grav_y;grav_z;lin_acc_x;lin_acc_y;lin_acc_z;gyro_x;gyro_y;gyro_z;mag_x;mag_y;mag_z;sound_lvl;time_ms;date_time
-0.971;2.46;9.786;0.65;2.243;9.524;-1.621;0.217;0.262;0.22;-0.746;-0.395;-4.9;-28.3;10.2;49.3;13;2018-04-16 22:36:14:427
-0.971;2.46;9.786;0.65;2.243;9.524;-1.621;0.217;0.262;0.22;-0.746;-0.395;-4.9;-28.3;10.2;49.3;23;2018-04-16 22:36:14:437
-0.539;2.334;9.896;0.734;2.282;9.509;-1.273;0.052;0.387;0.178;-0.485;-0.254;-4.6;-28.2;10.2;49.3;33;2018-04-16 22:36:14:447
-0.215;2.714;10.276;0.734;2.282;9.509;-1.273;0.052;0.387;0.154;-0.205;-0.213;-4.4;-28.2;10.3;49.3;43;2018-04-16 22:36:14:457
-0.215;2.714;10.276;0.76;2.314;9.499;-1.021;0.356;0.726;0.154;-0.205;-0.213;-4.4;-28.2;10.3;49.3;53;2018-04-16 22:36:14:467
-0.456;2.896;9.676;0.744;2.327;9.497;-1.2;0.569;0.179;0.116;0.098;-0.188;-4.2;-28.2;10.3;49.3;62;2018-04-16 22:36:14:476
-0.456;2.896;9.676;0.744;2.327;9.497;-1.2;0.569;0.179;0.116;0.098;-0.188;-4.2;-28.2;10.3;49.3;74;2018-04-16 22:36:14:488
-0.67;3.513;7.995;0.715;2.353;9.493;-1.385;1.161;-1.498;0.097;0.01;-0.183;-3.9;-28.2;10.4;49.3;83;2018-04-16 22:36:14:497
-0.461;3.439;7.983;0.789;2.379;9.481;-1.249;1.06;-1.497;0.117;-0.464;-0.203;-3.9;-28.2;10.4;49.3;93;2018-04-16 22:36:14:507
-0.461;3.439;7.983;0.789;2.379;9.481;-1.249;1.06;-1.497;0.117;-0.464;-0.203;-3.6;-28.2;10.4;49.3;103;2018-04-16 22:36:14:517
-0.48;3.365;8.259;0.875;2.405;9.467;-1.355;0.96;-1.208;0.209;-0.913;-0.246;-3.6;-28.2;10.4;49.3;113;2018-04-16 22:36:14:527
-0.372;3.099;8.792;0.875;2.405;9.467;-1.355;0.96;-1.208;0.228;-1.253;-0.237;-3.3;-28.1;10.5;49.3;123;2018-04-16 22:36:14:537
-0.372;3.099;8.792;1.091;2.456;9.431;-1.404;0.781;-0.282;0.193;-1.352;-0.181;-3.3;-28.1;10.5;49.3;133;2018-04-16 22:36:14:547
-0.151;3.031;9.631;1.091;2.456;9.431;-1.404;0.781;-0.282;0.177;-1.219;-0.173;-3.1;-28.1;10.7;49.3;143;2018-04-16 22:36:14:557
0.265;3.182;9.85;1.304;2.493;9.394;-1.195;0.565;0.332;0.177;-1.219;-0.173;-3.1;-28.1;10.7;49.3;152;2018-04-16 22:36:14:566
0.265;3.182;9.85;1.304;2.493;9.394;-1.195;0.565;0.332;0.075;-0.993;-0.162;-2.9;-28.1;10.7;49.3;163;2018-04-16 22:36:14:577
0.796;3.117;9.839;1.466;2.511;9.366;-0.67;0.606;0.473;0.049;-0.866;-0.188;-2.9;-28.1;10.7;49.3;173;2018-04-16 22:36:14:587
1.337;3.541;10.092;1.466;2.511;9.366;-0.67;0.606;0.473;0.088;-0.929;-0.193;-2.6;-28.1;10.8;49.3;183;2018-04-16 22:36:14:597
1.59;3.862;9.618;1.638;2.549;9.327;-0.195;1.132;0.643;0.429;-1.158;-0.301;-2.5;-28.1;10.8;49.3;193;2018-04-16 22:36:14:607
