sep=;
acc_x;acc_y;acc_z;grav_x;grav_y;grav_z;lin_acc_x;lin_acc_y;lin_acc_z;gyro_x;gyro_y;gyro_z;mag_x;mag_y;mag_z;sound_lvl;time_ms;date_time
-1.511;1.604;11.228;0.085;2.261;9.542;-1.096;-0.208;-0.289;-0.572;-0.649;-0.156;-6.4;-32.1;3.8;51.36;11;2018-04-16 23:31:20:317
-1.511;1.604;11.228;0.188;2.149;9.567;-1.73;-0.633;2.032;-0.601;-0.513;-0.194;-6.4;-32.1;3.8;51.36;21;2018-04-16 23:31:20:327
-2.452;1.111;13.278;0.223;2.108;9.575;-2.675;-0.997;3.703;-0.428;-0.419;-0.239;-6.9;-32.2;3.1;51.36;30;2018-04-16 23:31:20:336
-2.452;1.111;13.278;0.223;2.108;9.575;-2.675;-0.997;3.703;-0.428;-0.419;-0.239;-6.9;-32.2;3.1;51.36;40;2018-04-16 23:31:20:346
-2.424;0.907;12.661;0.264;2.122;9.571;-2.777;-1.153;2.162;0.097;-0.265;-0.103;-7.0;-32.1;3.2;51.36;50;2018-04-16 23:31:20:356
-2.424;0.907;12.661;0.264;2.122;9.571;-2.777;-1.153;2.162;0.097;-0.265;-0.103;-7.0;-32.1;3.2;51.36;60;2018-04-16 23:31:20:366
-2.763;1.749;8.944;0.244;2.172;9.56;-2.932;-0.192;-1.211;0.305;0.062;0.04;-6.5;-32.2;3.6;51.36;71;2018-04-16 23:31:20:377
-2.312;2.265;7.355;0.245;2.175;9.559;-2.556;0.09;-2.204;0.035;0.016;0.105;-6.5;-32.2;3.6;51.36;81;2018-04-16 23:31:20:387
-2.312;2.265;7.355;0.245;2.175;9.559;-2.556;0.09;-2.204;0.035;0.016;0.105;-6.1;-32.2;3.8;51.36;91;2018-04-16 23:31:20:397
-2.093;2.181;7.298;0.285;2.117;9.571;-2.344;-0.048;-2.164;-0.4;-0.291;0.007;-5.9;-32.3;3.9;51.36;101;2018-04-16 23:31:20:407
-1.798;1.834;8.019;0.285;2.117;9.571;-2.344;-0.048;-2.164;-0.397;-0.876;-0.06;-5.9;-32.3;3.9;51.36;111;2018-04-16 23:31:20:417
0.152;2.283;8.705;0.507;2.067;9.573;-1.623;-0.274;-0.747;-0.12;-1.521;-0.109;-5.7;-32.3;3.7;51.36;120;2018-04-16 23:31:20:426
0.152;2.283;8.705;0.723;2.104;9.551;0.245;0.426;-0.826;0.359;-2.292;-0.252;-5.7;-32.3;3.7;51.36;130;2018-04-16 23:31:20:436
0.991;2.358;8.156;0.723;2.104;9.551;0.245;0.426;-0.826;0.359;-2.292;-0.252;-5.7;-32.3;3.7;51.36;140;2018-04-16 23:31:20:446
1.395;2.218;7.357;1.339;2.311;9.436;0.392;-0.143;-2.493;1.069;-3.414;-0.568;-5.5;-32.4;3.5;51.36;150;2018-04-16 23:31:20:456
1.634;1.34;5.259;1.339;2.311;9.436;0.392;-0.143;-2.493;1.084;-3.996;-0.968;-5.3;-32.4;3.5;51.36;161;2018-04-16 23:31:20:467
1.634;1.34;5.259;2.04;2.545;9.248;-0.781;-1.458;-4.026;1.084;-3.996;-0.968;-5.3;-32.4;3.5;51.36;171;2018-04-16 23:31:20:477
0.626;0.085;5.847;2.388;2.642;9.137;-1.762;-2.557;-3.29;0.825;-4.094;-0.997;-5.0;-32.4;3.6;51.36;181;2018-04-16 23:31:20:487
0.626;0.085;5.847;2.388;2.642;9.137;-1.762;-2.557;-3.29;0.825;-4.094;-0.997;-5.0;-32.4;3.6;51.36;191;2018-04-16 23:31:20:497
0.626;0.085;5.847;2.388;2.642;9.137;-1.762;-2.557;-3.29;0.825;-4.094;-0.997;-5.0;-32.4;3.6;51.36;200;2018-04-16 23:31:20:506
0.626;0.085;5.847;2.388;2.642;9.137;-1.762;-2.557;-3.29;0.825;-4.094;-0.997;-5.0;-32.4;3.6;51.36;210;2018-04-16 23:31:20:516
-1.554;-1.754;5.565;3.057;2.82;8.881;-5.982;-4.464;-2.813;0.766;-3.944;-0.803;-4.8;-32.4;3.6;51.36;221;2018-04-16 23:31:20:527
0.67;-2.54;4.252;3.057;2.82;8.881;-5.982;-4.464;-2.813;2.02;-4.293;1.708;-4.0;-32.3;4.0;51.36;231;2018-04-16 23:31:20:537
0.67;-2.54;4.252;4.542;3.149;8.1;-3.872;-5.69;-3.848;2.02;-4.293;1.708;-4.0;-32.3;4.0;51.36;240;2018-04-16 23:31:20:546
0.67;-2.54;4.252;4.542;3.149;8.1;-3.872;-5.69;-3.848;2.02;-4.293;1.708;-4.0;-32.3;4.0;51.36;252;2018-04-16 23:31:20:558
1.547;-2.913;2.877;5.014;3.276;7.765;-3.468;-6.188;-4.888;2.573;-4.84;1.934;-3.8;-32.2;4.1;51.17;263;2018-04-16 23:31:20:569
0.877;-3.818;-0.368;6.008;3.487;6.922;-5.131;-7.304;-7.29;3.282;-5.78;2.508;-3.3;-32.1;4.4;51.17;270;2018-04-16 23:31:20:576
0.877;-3.818;-0.368;6.008;3.487;6.922;-5.131;-7.304;-7.29;3.035;-5.806;3.13;-3.3;-32.1;4.4;51.17;280;2018-04-16 23:31:20:586
0.206;-4.97;-2.288;6.976;3.466;5.958;-6.77;-8.436;-8.246;2.627;-5.723;3.658;-3.0;-32.1;4.7;51.17;294;2018-04-16 23:31:20:600
0.206;-4.97;-2.288;6.976;3.466;5.958;-6.77;-8.436;-8.246;2.627;-5.723;3.658;-3.0;-32.1;4.7;51.17;305;2018-04-16 23:31:20:611
0.206;-4.97;-2.288;6.976;3.466;5.958;-6.77;-8.436;-8.246;2.627;-5.723;3.658;-3.0;-32.1;4.7;51.17;311;2018-04-16 23:31:20:617
-0.547;-6.367;-3.339;7.872;3.042;4.995;-8.419;-9.41;-8.333;2.006;-5.597;4.285;-2.8;-32.0;4.8;51.17;321;2018-04-16 23:31:20:627
-0.547;-6.367;-3.339;7.872;3.042;4.995;-8.419;-9.41;-8.333;0.836;-5.316;5.52;-2.8;-32.0;4.8;51.17;331;2018-04-16 23:31:20:637
6.449;-7.615;-3.418;8.655;2.101;4.104;-2.206;-9.716;-7.522;-0.028;-5.054;6.133;-2.7;-31.5;6.1;51.17;341;2018-04-16 23:31:20:647
10.142;-8.638;-0.928;9.2;0.862;3.284;0.942;-9.5;-4.212;-1.528;-4.709;6.474;-2.9;-31.1;7.1;51.17;350;2018-04-16 23:31:20:656
10.142;-8.638;-0.928;9.2;0.862;3.284;0.942;-9.5;-4.212;-1.528;-4.709;6.474;-2.9;-31.1;7.1;51.17;361;2018-04-16 23:31:20:667
12.731;-9.834;3.136;9.518;-0.433;2.323;3.214;-9.401;0.813;-1.825;-5.411;6.294;-3.2;-31.3;6.9;51.17;370;2018-04-16 23:31:20:676
14.523;-10.822;7.315;9.518;-0.433;2.323;3.214;-9.401;0.813;-1.469;-5.825;6.25;-3.2;-31.3;6.9;51.17;381;2018-04-16 23:31:20:687
