sep=;
acc_x;acc_y;acc_z;grav_x;grav_y;grav_z;lin_acc_x;lin_acc_y;lin_acc_z;gyro_x;gyro_y;gyro_z;mag_x;mag_y;mag_z;sound_lvl;time_ms;date_time
-6.82;0.93;5.223;-4.636;2.324;8.323;-2.184;-1.394;-3.101;0.569;-3.049;-0.479;-7.4;-31.2;3.1;47.48;9;2018-04-16 23:01:50:277
-4.503;1.328;7.87;-4.188;2.362;8.547;-0.316;-1.035;-0.677;0.316;-2.409;-0.356;-7.4;-31.2;3.1;47.48;19;2018-04-16 23:01:50:287
-4.503;1.328;7.87;-4.188;2.362;8.547;-0.316;-1.035;-0.677;0.316;-2.409;-0.356;-7.0;-30.8;3.9;47.48;29;2018-04-16 23:01:50:297
-4.079;1.377;9.645;-3.844;2.409;8.694;-0.398;-0.983;0.682;0.43;-2.399;-0.195;-6.8;-31.0;4.2;47.48;39;2018-04-16 23:01:50:307
-4.079;1.377;9.645;-3.844;2.409;8.694;-0.398;-0.983;0.682;0.23;-1.555;-0.296;-6.8;-31.0;4.2;47.48;49;2018-04-16 23:01:50:317
-4.47;0.724;13.422;-3.708;2.406;8.754;-0.762;-1.681;4.668;0.104;-1.52;-0.327;-6.8;-31.0;4.2;47.48;58;2018-04-16 23:01:50:326
-4.47;0.724;13.422;-3.708;2.406;8.754;-0.762;-1.681;4.668;0.104;-1.52;-0.327;-7.3;-31.4;3.5;47.48;68;2018-04-16 23:01:50:336
-6.81;-3.19;8.9;-3.622;2.379;8.797;-3.188;-5.569;0.103;0.031;-0.539;0.116;-7.8;-30.9;3.1;47.48;78;2018-04-16 23:01:50:346
-8.458;-1.985;6.885;-3.622;2.379;8.797;-3.188;-5.569;0.103;0.296;-0.724;0.925;-7.8;-31.0;2.7;47.48;88;2018-04-16 23:01:50:356
-8.458;-1.985;6.885;-3.442;2.498;8.836;-4.607;-3.568;-1.979;0.296;-0.724;0.925;-7.8;-31.0;2.7;47.48;98;2018-04-16 23:01:50:366
-5.924;1.737;6.892;-3.296;2.585;8.867;-2.628;-0.848;-1.975;0.484;-1.487;1.483;-7.6;-31.1;2.6;47.48;109;2018-04-16 23:01:50:377
-5.924;1.737;6.892;-3.296;2.585;8.867;-2.628;-0.848;-1.975;1.102;-2.564;1.274;-7.6;-31.1;2.6;47.48;118;2018-04-16 23:01:50:386
-2.628;2.847;4.439;-2.774;2.853;8.963;0.146;-0.006;-4.524;1.373;-3.429;1.043;-7.2;-31.2;2.7;47.48;128;2018-04-16 23:01:50:396
-0.684;3.834;5.023;-2.022;3.113;9.077;1.287;1.044;-3.311;1.216;-3.94;0.926;-7.1;-31.2;2.9;47.48;139;2018-04-16 23:01:50:407
-0.684;3.834;5.023;-2.022;3.113;9.077;1.287;1.044;-3.311;1.216;-3.94;0.926;-7.1;-31.2;2.9;47.48;149;2018-04-16 23:01:50:417
-0.224;4.289;8.048;-1.634;3.173;9.134;1.411;1.116;-1.086;0.487;-3.669;0.58;-6.7;-31.2;3.3;47.48;158;2018-04-16 23:01:50:426
-0.224;4.289;8.048;-1.634;3.173;9.134;1.411;1.116;-1.086;-0.082;-2.683;0.067;-6.7;-31.2;3.3;47.48;169;2018-04-16 23:01:50:437
-0.28;2.412;9.845;-1.092;3.172;9.215;0.812;-0.76;0.63;-0.031;-2.56;-0.087;-6.4;-31.1;3.5;47.48;179;2018-04-16 23:01:50:447
-0.927;0.86;8.973;-1.092;3.172;9.215;0.812;-0.76;0.63;0.154;-2.788;-0.142;-6.2;-31.1;3.8;47.48;189;2018-04-16 23:01:50:457
-0.927;0.86;8.973;-0.604;3.178;9.258;-1.301;-3.129;-0.44;0.154;-2.788;-0.142;-6.2;-31.1;3.8;47.48;199;2018-04-16 23:01:50:467
-4.256;-1.695;7.896;-0.336;3.232;9.253;-3.92;-4.927;-1.357;0.656;-3.305;0.199;-5.8;-31.1;4.3;47.48;209;2018-04-16 23:01:50:477
-4.256;-1.695;7.896;-0.336;3.232;9.253;-3.92;-4.927;-1.357;0.656;-3.305;0.199;-5.8;-31.1;4.3;47.48;218;2018-04-16 23:01:50:486
-0.802;-0.16;5.148;0.435;3.411;9.184;-1.237;-3.571;-4.036;1.053;-3.994;1.393;-5.5;-31.1;4.7;47.48;228;2018-04-16 23:01:50:496
3.036;2.733;1.89;1.408;3.598;9.014;2.186;-0.677;-7.994;1.217;-4.76;1.545;-5.4;-31.1;4.9;47.48;239;2018-04-16 23:01:50:507
3.036;2.733;1.89;1.408;3.598;9.014;2.186;-0.677;-7.994;1.217;-4.76;1.545;-5.4;-31.1;4.9;47.48;249;2018-04-16 23:01:50:517
4.469;2.66;-0.002;2.013;3.657;8.874;2.455;-0.997;-8.876;0.867;-5.641;1.357;-5.1;-31.0;5.3;47.48;259;2018-04-16 23:01:50:527
4.469;2.66;-0.002;2.013;3.657;8.874;2.455;-0.997;-8.876;0.254;-6.197;1.112;-5.1;-31.0;5.3;47.48;269;2018-04-16 23:01:50:537
4.488;0.601;2.18;3.185;3.645;8.529;1.303;-3.044;-6.349;0.067;-6.682;1.064;-4.8;-30.8;5.8;47.48;279;2018-04-16 23:01:50:547
3.219;-0.875;4.105;3.185;3.645;8.529;1.303;-3.044;-6.349;0.103;-7.183;1.223;-4.8;-30.8;5.8;47.48;289;2018-04-16 23:01:50:557
1.827;-1.703;3.979;4.458;3.566;7.974;-1.711;-4.743;-3.749;0.176;-7.454;1.574;-4.5;-30.8;6.2;47.48;299;2018-04-16 23:01:50:567
1.827;-1.703;3.979;4.458;3.566;7.974;-1.711;-4.743;-3.749;0.158;-7.456;2.089;-4.4;-30.7;6.4;47.48;309;2018-04-16 23:01:50:577
1.742;-2.714;3.187;5.736;3.368;7.206;-3.994;-6.082;-4.019;0.158;-7.456;2.089;-4.4;-30.7;6.4;42.26;319;2018-04-16 23:01:50:587
4.894;-4.772;2.17;5.736;3.368;7.206;-3.994;-6.082;-4.019;-0.09;-7.207;3.034;-4.1;-30.6;6.9;42.26;328;2018-04-16 23:01:50:596
6.705;-5.286;2.602;6.911;2.913;6.319;-0.55;-8.162;-4.123;-0.37;-7.068;3.544;-3.9;-30.5;7.1;42.26;339;2018-04-16 23:01:50:607
6.705;-5.286;2.602;6.911;2.913;6.319;-0.55;-8.162;-4.123;-0.671;-6.946;3.809;-3.9;-30.5;7.1;42.26;349;2018-04-16 23:01:50:617
4.782;-4.178;4.961;7.921;2.223;5.337;-3.139;-6.401;-0.376;-0.878;-6.833;4.193;-3.7;-30.4;7.4;42.26;359;2018-04-16 23:01:50:627
4.782;-4.178;4.961;7.921;2.223;5.337;-3.139;-6.401;-0.376;-0.878;-6.833;4.193;-3.7;-30.4;7.4;42.26;369;2018-04-16 23:01:50:637
7.242;-5.556;7.851;8.724;1.263;4.297;-1.482;-6.818;3.554;-0.778;-6.391;5.559;-3.5;-30.2;7.7;42.26;379;2018-04-16 23:01:50:647
7.242;-5.556;7.851;8.724;1.263;4.297;-1.482;-6.818;3.554;-0.778;-6.391;5.559;-3.5;-30.2;7.7;42.26;389;2018-04-16 23:01:50:657
12.869;-6.412;10.734;9.259;0.11;3.228;4.975;-6.432;8.643;-0.37;-5.923;6.227;-3.5;-30.2;7.9;42.26;399;2018-04-16 23:01:50:667
12.869;-6.412;10.734;9.259;0.11;3.228;4.975;-6.432;8.643;-0.37;-5.923;6.227;-3.5;-30.2;7.9;42.26;408;2018-04-16 23:01:50:676
12.869;-6.412;10.734;9.259;0.11;3.228;4.975;-6.432;8.643;-0.37;-5.923;6.227;-3.5;-30.2;7.9;42.26;419;2018-04-16 23:01:50:687
