sep=;
acc_x;acc_y;acc_z;grav_x;grav_y;grav_z;lin_acc_x;lin_acc_y;lin_acc_z;gyro_x;gyro_y;gyro_z;mag_x;mag_y;mag_z;sound_lvl;time_ms;date_time
3.096;-0.789;5.194;1.883;3.858;8.817;1.375;-4.817;-3.222;1.815;-3.89;0.52;15.7;-27.1;13.2;51.1;23;2018-04-16 23:25:58:796
4.28;-2.46;6.098;2.306;3.99;8.656;0.952;-4.949;-3.061;1.791;-4.701;0.821;15.8;-27.1;13.2;51.1;33;2018-04-16 23:25:58:806
4.28;-2.46;6.098;2.306;3.99;8.656;0.952;-4.949;-3.061;1.791;-4.701;0.821;15.8;-27.1;13.2;51.1;43;2018-04-16 23:25:58:816
1.105;-3.044;7.591;3.243;4.256;8.218;-2.836;-7.488;-1.494;1.955;-5.024;1.08;16.0;-27.1;13.3;51.1;52;2018-04-16 23:25:58:825
0.138;-3.928;5.313;3.745;4.372;7.939;-3.338;-7.604;-1.215;2.285;-4.882;2.067;16.1;-27.1;13.2;51.1;62;2018-04-16 23:25:58:835
0.138;-3.928;5.313;3.745;4.372;7.939;-3.338;-7.604;-1.215;2.285;-4.882;2.067;16.1;-27.1;13.2;51.1;73;2018-04-16 23:25:58:846
0.138;-3.928;5.313;3.745;4.372;7.939;-3.338;-7.604;-1.215;2.285;-4.882;2.067;16.1;-27.1;13.2;51.1;84;2018-04-16 23:25:58:857
2.106;-4.525;3.063;4.793;4.502;7.275;-2.687;-9.027;-4.211;2.743;-5.076;3.409;16.3;-27.0;13.5;51.1;93;2018-04-16 23:25:58:866
4.266;-3.615;1.342;5.909;4.489;6.411;-1.643;-8.104;-5.069;2.975;-5.394;3.845;16.5;-26.9;13.7;51.1;102;2018-04-16 23:25:58:875
4.266;-3.615;1.342;5.909;4.489;6.411;-1.643;-8.104;-5.069;3.047;-6.308;4.496;16.5;-26.9;13.7;51.1;112;2018-04-16 23:25:58:885
6.521;-4.023;3.061;7.065;4.23;5.326;-0.545;-8.253;-2.265;3.047;-6.308;4.496;16.6;-26.7;14.2;51.1;122;2018-04-16 23:25:58:895
7.366;-5.036;4.167;7.609;3.944;4.766;-0.243;-8.98;-0.599;2.572;-6.167;5.26;16.6;-26.6;14.3;51.1;132;2018-04-16 23:25:58:905
7.366;-5.036;4.167;7.609;3.944;4.766;-0.243;-8.98;-0.599;2.572;-6.167;5.26;16.6;-26.6;14.3;51.1;142;2018-04-16 23:25:58:915
7.649;-6.314;5.899;8.503;3.228;3.668;-0.853;-9.541;2.231;2.408;-5.561;5.861;16.5;-25.1;16.8;51.1;152;2018-04-16 23:25:58:925
8.454;-6.286;6.88;8.871;2.761;3.14;-0.417;-9.047;3.74;2.387;-5.231;6.267;16.3;-24.6;17.4;51.1;163;2018-04-16 23:25:58:936
8.454;-6.286;6.88;8.871;2.761;3.14;-0.417;-9.047;3.74;2.387;-5.231;6.267;16.3;-24.6;17.4;51.1;173;2018-04-16 23:25:58:946
13.144;-4.979;8.748;9.419;1.629;2.192;3.725;-6.608;6.556;2.402;-4.375;7.01;16.2;-23.4;20.7;51.1;182;2018-04-16 23:25:58:955
17.753;-2.915;9.491;9.419;1.629;2.192;3.725;-6.608;6.556;2.652;-3.668;7.051;16.2;-23.4;20.7;51.1;193;2018-04-16 23:25:58:966
17.753;-2.915;9.491;9.696;0.352;1.424;9.925;-2.192;8.148;2.652;-3.668;7.051;15.0;-22.8;21.5;51.1;203;2018-04-16 23:25:58:976
22.406;-0.085;8.539;9.696;0.352;1.424;9.925;-2.192;8.148;3.043;-2.899;6.585;15.0;-22.8;21.5;51.1;212;2018-04-16 23:25:58:985
22.406;-0.085;8.539;9.731;-0.769;0.939;14.48;2.807;5.413;3.043;-2.899;6.585;13.3;-20.1;23.7;51.1;222;2018-04-16 23:25:58:995
24.524;4.335;4.355;9.697;-1.228;0.79;14.826;5.563;3.565;3.308;-1.885;5.051;12.9;-19.7;24.9;51.1;232;2018-04-16 23:25:59:005
24.524;4.335;4.355;9.697;-1.228;0.79;14.826;5.563;3.565;3.308;-1.885;5.051;12.9;-19.7;24.9;51.1;242;2018-04-16 23:25:59:015
22.895;6.638;1.433;9.605;-1.87;0.649;12.767;9.011;-0.027;3.109;-1.216;3.53;12.2;-17.2;24.6;51.1;253;2018-04-16 23:25:59:026
21.397;8.049;-0.895;9.563;-2.078;0.638;11.834;10.128;-1.533;2.553;-0.638;2.252;11.8;-16.2;27.9;51.1;262;2018-04-16 23:25:59:035
21.397;8.049;-0.895;9.563;-2.078;0.638;11.834;10.128;-1.533;1.763;-0.045;1.109;11.8;-16.2;27.9;51.1;272;2018-04-16 23:25:59:045
20.785;8.934;-3.871;9.517;-2.258;0.703;11.268;11.192;-4.574;1.466;0.133;0.705;11.5;-14.8;28.1;51.1;282;2018-04-16 23:25:59:055
20.785;8.934;-3.871;9.517;-2.258;0.703;11.268;11.192;-4.574;1.466;0.133;0.705;11.5;-14.8;28.1;51.1;292;2018-04-16 23:25:59:065
20.104;8.498;-6.276;9.531;-2.151;0.838;10.471;9.668;-13.511;0.588;0.593;-0.514;11.2;-13.3;29.0;50.16;303;2018-04-16 23:25:59:076
15.502;5.806;-20.026;9.553;-2.006;0.936;5.949;7.812;-20.962;-1.404;1.341;-1.653;10.8;-13.2;28.0;50.16;313;2018-04-16 23:25:59:086
15.502;5.806;-20.026;9.553;-2.006;0.936;5.949;7.812;-20.962;-1.404;1.341;-1.653;10.8;-13.2;28.0;50.16;322;2018-04-16 23:25:59:095
11.242;2.579;-3.558;9.571;-1.753;1.224;1.671;4.332;-4.782;-3.872;2.253;-1.576;10.8;-14.0;29.6;50.16;332;2018-04-16 23:25:59:105
11.242;2.579;-3.558;9.571;-1.753;1.224;1.671;4.332;-4.782;-3.872;2.253;-1.576;10.8;-14.0;29.6;50.16;342;2018-04-16 23:25:59:115
