sep=;
acc_x;acc_y;acc_z;grav_x;grav_y;grav_z;lin_acc_x;lin_acc_y;lin_acc_z;gyro_x;gyro_y;gyro_z;mag_x;mag_y;mag_z;sound_lvl;time_ms;date_time
3.703;1.074;1.823;4.058;4.576;7.665;-0.246;-3.21;-6.176;1.93;-4.468;1.956;4.4;-36.1;4.8;42.11;8;2018-04-16 22:57:53:229
3.263;0.001;2.604;4.558;4.653;7.331;-1.295;-4.651;-4.727;1.984;-4.706;1.886;5.1;-35.7;5.4;42.11;18;2018-04-16 22:57:53:239
1.244;-2.089;2.575;5.362;4.705;6.73;-3.015;-5.947;-3.709;1.803;-4.3;2.188;6.1;-34.8;5.9;42.11;28;2018-04-16 22:57:53:249
1.244;-2.089;2.575;5.362;4.705;6.73;-3.015;-5.947;-3.709;1.803;-4.3;2.188;6.1;-34.8;5.9;42.11;39;2018-04-16 22:57:53:260
-0.855;-3.084;0.013;6.129;4.56;6.149;-6.984;-7.643;-6.136;1.233;-3.855;3.026;6.5;-34.4;6.7;42.11;48;2018-04-16 22:57:53:269
-0.855;-3.084;0.013;6.129;4.56;6.149;-6.984;-7.643;-6.136;1.233;-3.855;3.026;6.5;-34.4;6.7;42.11;57;2018-04-16 22:57:53:278
-0.855;-3.084;0.013;6.129;4.56;6.149;-6.984;-7.643;-6.136;1.233;-3.855;3.026;6.5;-34.4;6.7;42.11;68;2018-04-16 22:57:53:289
-0.855;-3.084;0.013;6.129;4.56;6.149;-6.984;-7.643;-6.136;1.233;-3.855;3.026;6.5;-34.4;6.7;42.11;78;2018-04-16 22:57:53:299
-0.801;-4.132;-0.821;6.491;4.405;5.885;-7.292;-8.537;-6.706;0.918;-3.99;3.596;6.8;-34.1;6.7;42.11;87;2018-04-16 22:57:53:308
-0.801;-4.132;-0.821;6.491;4.405;5.885;-7.292;-8.537;-6.706;0.918;-3.99;3.596;6.8;-34.1;6.7;42.11;98;2018-04-16 22:57:53:319
6.524;-10.704;2.064;8.623;2.153;4.144;-2.099;-12.857;-2.081;-1.045;-4.673;6.882;6.7;-33.9;7.5;42.11;108;2018-04-16 22:57:53:329
6.524;-10.704;2.064;8.623;2.153;4.144;-2.099;-12.857;-2.081;-1.045;-4.673;6.882;6.7;-33.9;7.5;42.11;118;2018-04-16 22:57:53:339
11.103;-10.854;3.71;9.192;0.665;3.352;1.911;-11.519;0.358;-1.239;-4.527;7.836;6.3;-33.5;7.7;42.11;128;2018-04-16 22:57:53:349
11.103;-10.854;3.71;9.192;0.665;3.352;1.911;-11.519;0.358;-1.239;-4.527;7.836;6.3;-33.5;7.7;42.11;137;2018-04-16 22:57:53:358
15.682;-10.394;5.03;9.435;-0.88;2.525;6.247;-9.514;2.505;-0.979;-4.44;8.021;6.1;-34.0;6.8;42.11;147;2018-04-16 22:57:53:368
15.682;-10.394;5.03;9.435;-0.88;2.525;6.247;-9.514;2.505;-0.979;-4.44;8.021;6.1;-34.0;6.8;42.11;158;2018-04-16 22:57:53:379
18.924;-10.721;6.553;9.348;-2.378;1.767;9.575;-8.343;4.786;-0.882;-3.676;7.762;6.5;-33.9;7.3;42.11;168;2018-04-16 22:57:53:389
19.959;-10.501;7.177;9.204;-3.031;1.504;10.755;-7.47;5.673;-1.09;-2.825;7.593;6.6;-33.9;7.4;42.11;178;2018-04-16 22:57:53:399
19.959;-10.501;7.177;9.204;-3.031;1.504;10.755;-7.47;5.673;-1.09;-2.825;7.593;6.6;-33.9;7.4;42.11;188;2018-04-16 22:57:53:409
22.517;-9.063;8.781;8.707;-4.343;1.225;13.811;-4.72;7.556;-1.912;-0.288;6.822;4.7;-33.3;7.3;42.11;198;2018-04-16 22:57:53:419
24.87;-8.091;10.736;8.707;-4.343;1.225;13.811;-4.72;7.556;-1.96;0.413;6.337;4.7;-33.3;7.3;42.11;207;2018-04-16 22:57:53:428
24.87;-8.091;10.736;8.101;-5.405;1.153;18.113;-2.169;10.443;-1.671;0.904;5.721;1.6;-32.3;7.5;42.11;217;2018-04-16 22:57:53:438
28.323;-6.779;12.471;7.777;-5.851;1.207;19.547;-1.323;10.939;-1.112;1.401;4.969;0.1;-31.7;7.7;49.09;228;2018-04-16 22:57:53:449
28.323;-6.779;12.471;7.777;-5.851;1.207;19.547;-1.323;10.939;-1.112;1.401;4.969;0.1;-31.7;7.7;49.09;238;2018-04-16 22:57:53:459
30.191;-4.788;10.822;7.267;-6.404;1.532;22.308;0.354;10.74;0.027;2.511;3.152;-3.2;-31.2;6.2;49.09;248;2018-04-16 22:57:53:469
29.215;-3.559;8.534;7.267;-6.404;1.532;22.308;0.354;10.74;0.352;3.068;1.665;-3.2;-31.2;6.2;49.09;258;2018-04-16 22:57:53:479
29.215;-3.559;8.534;6.955;-6.617;2.001;21.115;3.568;5.617;0.352;3.068;1.665;-6.9;-29.7;6.0;49.09;269;2018-04-16 22:57:53:490
25.939;-2.543;6.545;6.955;-6.617;2.001;21.115;3.568;5.617;0.332;3.393;0.323;-6.9;-29.7;6.0;49.09;277;2018-04-16 22:57:53:498
25.939;-2.543;6.545;6.809;-6.591;2.523;19.13;4.049;4.022;0.332;3.393;0.323;-8.8;-28.7;3.7;49.09;287;2018-04-16 22:57:53:508
19.865;-4.712;6.012;6.778;-6.522;2.772;13.086;1.811;3.24;0.529;3.531;-0.909;-9.4;-28.1;3.0;49.09;298;2018-04-16 22:57:53:519
19.865;-4.712;6.012;6.778;-6.522;2.772;13.086;1.811;3.24;0.529;3.531;-0.909;-9.4;-28.1;3.0;49.09;308;2018-04-16 22:57:53:529
13.15;-7.518;4.732;6.728;-6.293;3.361;9.591;-0.118;2.583;1.161;3.415;-1.308;-10.3;-28.8;2.6;49.09;318;2018-04-16 22:57:53:539
10.241;-8.06;3.072;6.692;-6.148;3.687;3.549;-1.913;-0.616;1.45;3.107;-1.222;-11.0;-29.8;1.7;49.09;328;2018-04-16 22:57:53:549
10.241;-8.06;3.072;6.692;-6.148;3.687;3.549;-1.913;-0.616;1.45;3.107;-1.222;-11.0;-29.8;1.7;49.09;338;2018-04-16 22:57:53:559
5.806;-7.578;-3.007;6.646;-5.913;4.128;-0.84;-1.665;-7.135;1.622;1.523;-0.71;-11.9;-29.2;1.8;49.09;348;2018-04-16 22:57:53:569
5.806;-7.578;-3.007;6.646;-5.913;4.128;-0.84;-1.665;-7.135;1.622;1.523;-0.71;-11.9;-29.2;1.8;49.09;358;2018-04-16 22:57:53:579
5.191;-7.925;-4.124;6.667;-5.846;4.189;-1.476;-2.079;-8.313;1.423;0.042;-0.348;-11.2;-28.2;2.6;49.09;368;2018-04-16 22:57:53:589
5.191;-7.925;-4.124;6.667;-5.846;4.189;-1.476;-2.079;-8.313;1.423;0.042;-0.348;-11.2;-28.2;2.6;49.09;378;2018-04-16 22:57:53:599
5.508;-7.16;6.092;6.743;-5.822;4.098;-1.236;-1.338;1.994;0.949;-1.792;0.728;-12.2;-27.4;1.5;49.09;388;2018-04-16 22:57:53:609
8.473;-4.361;6.365;6.723;-5.824;4.13;1.751;1.463;2.235;2.362;-1.308;1.168;-12.0;-28.9;2.0;49.09;398;2018-04-16 22:57:53:619
8.473;-4.361;6.365;6.723;-5.824;4.13;1.751;1.463;2.235;2.362;-1.308;1.168;-12.0;-28.9;2.0;49.09;408;2018-04-16 22:57:53:629
8.886;-2.733;-1.0;6.804;-5.686;4.189;2.082;2.953;-5.188;2.674;-2.011;0.707;-11.7;-26.7;3.1;49.09;418;2018-04-16 22:57:53:639
8.886;-2.733;-1.0;6.804;-5.686;4.189;2.082;2.953;-5.188;2.299;-2.838;0.454;-11.2;-27.2;5.2;49.09;427;2018-04-16 22:57:53:648
9.278;-1.227;2.343;6.926;-5.596;4.109;1.96;2.863;-5.109;2.299;-2.838;0.454;-11.2;-27.2;5.2;49.09;437;2018-04-16 22:57:53:658
8.947;-2.538;3.363;7.213;-5.358;3.929;1.734;2.82;-0.566;2.641;-3.279;-0.222;-11.2;-26.8;5.1;49.09;447;2018-04-16 22:57:53:668
8.947;-2.538;3.363;7.213;-5.358;3.929;1.734;2.82;-0.566;2.641;-3.279;-0.222;-11.2;-26.8;5.1;49.09;457;2018-04-16 22:57:53:678
8.947;-2.538;3.363;7.213;-5.358;3.929;1.734;2.82;-0.566;2.641;-3.279;-0.222;-11.2;-26.8;5.1;49.09;467;2018-04-16 22:57:53:688
8.947;-2.538;3.363;7.213;-5.358;3.929;1.734;2.82;-0.566;2.641;-3.279;-0.222;-11.2;-26.8;5.1;49.09;479;2018-04-16 22:57:53:700
8.947;-2.538;3.363;7.213;-5.358;3.929;1.734;2.82;-0.566;2.641;-3.279;-0.222;-11.2;-26.8;5.1;49.09;488;2018-04-16 22:57:53:709
8.947;-2.538;3.363;7.213;-5.358;3.929;1.734;2.82;-0.566;2.641;-3.279;-0.222;-11.2;-26.8;5.1;49.09;498;2018-04-16 22:57:53:719
8.947;-2.538;3.363;7.213;-5.358;3.929;1.734;2.82;-0.566;2.641;-3.279;-0.222;-11.2;-26.8;5.1;49.09;508;2018-04-16 22:57:53:729
8.947;-2.538;3.363;7.213;-5.358;3.929;1.734;2.82;-0.566;2.641;-3.279;-0.222;-11.2;-26.8;5.1;49.09;517;2018-04-16 22:57:53:738
8.947;-2.538;3.363;7.213;-5.358;3.929;1.734;2.82;-0.566;2.641;-3.279;-0.222;-11.2;-26.8;5.1;49.09;528;2018-04-16 22:57:53:749
8.947;-2.538;3.363;7.213;-5.358;3.929;1.734;2.82;-0.566;2.641;-3.279;-0.222;-11.2;-26.8;5.1;49.09;538;2018-04-16 22:57:53:759
8.947;-2.538;3.363;7.213;-5.358;3.929;1.734;2.82;-0.566;2.641;-3.279;-0.222;-11.2;-26.8;5.1;49.09;548;2018-04-16 22:57:53:769
8.947;-2.538;3.363;7.213;-5.358;3.929;1.734;2.82;-0.566;2.641;-3.279;-0.222;-11.2;-26.8;5.1;49.09;557;2018-04-16 22:57:53:778
8.947;-2.538;3.363;7.213;-5.358;3.929;1.734;2.82;-0.566;2.641;-3.279;-0.222;-11.2;-26.8;5.1;49.09;568;2018-04-16 22:57:53:789
8.947;-2.538;3.363;7.213;-5.358;3.929;1.734;2.82;-0.566;2.641;-3.279;-0.222;-11.2;-26.8;5.1;49.09;578;2018-04-16 22:57:53:799
8.947;-2.538;3.363;7.213;-5.358;3.929;1.734;2.82;-0.566;2.641;-3.279;-0.222;-11.2;-26.8;5.1;49.09;588;2018-04-16 22:57:53:809
8.947;-2.538;3.363;7.213;-5.358;3.929;1.734;2.82;-0.566;2.641;-3.279;-0.222;-11.2;-26.8;5.1;49.09;598;2018-04-16 22:57:53:819
8.947;-2.538;3.363;7.213;-5.358;3.929;1.734;2.82;-0.566;2.641;-3.279;-0.222;-11.2;-26.8;5.1;49.09;608;2018-04-16 22:57:53:829
8.947;-2.538;3.363;7.213;-5.358;3.929;1.734;2.82;-0.566;2.641;-3.279;-0.222;-11.2;-26.8;5.1;49.09;618;2018-04-16 22:57:53:839
8.947;-2.538;3.363;7.213;-5.358;3.929;1.734;2.82;-0.566;2.641;-3.279;-0.222;-11.2;-26.8;5.1;49.09;628;2018-04-16 22:57:53:849
7.49;-3.112;3.206;7.517;-5.051;3.762;-0.422;1.826;-2.413;2.949;-3.205;-0.458;-10.1;-25.6;7.3;49.09;639;2018-04-16 22:57:53:860
5.273;0.041;1.264;9.162;-3.405;0.797;-3.889;3.445;0.467;-0.095;-1.786;0.122;0.3;-20.8;16.0;49.09;648;2018-04-16 22:57:53:869
5.273;0.041;1.264;9.162;-3.405;0.797;-3.889;3.445;0.467;-0.575;-1.174;0.337;0.3;-20.8;15.5;49.09;659;2018-04-16 22:57:53:880
5.575;0.087;2.781;9.16;-3.436;0.682;-3.585;3.523;2.099;-0.575;-1.174;0.337;0.8;-20.8;15.5;49.09;668;2018-04-16 22:57:53:889
5.783;-1.293;3.715;9.129;-3.545;0.505;-3.346;2.253;3.209;-1.085;-0.465;0.597;1.3;-19.9;15.9;49.09;677;2018-04-16 22:57:53:898
5.453;-2.441;3.359;9.103;-3.623;0.414;-3.651;1.182;2.945;-1.109;-0.484;0.724;1.4;-21.4;15.7;48.65;687;2018-04-16 22:57:53:908
5.453;-2.441;3.359;9.103;-3.623;0.414;-3.651;1.182;2.945;-1.025;-0.612;0.911;1.4;-21.4;15.7;48.65;698;2018-04-16 22:57:53:919
4.757;-4.228;1.665;9.028;-3.824;0.196;-4.271;-0.404;1.469;-1.025;-0.612;0.911;1.3;-21.1;17.1;48.65;708;2018-04-16 22:57:53:929
4.757;-4.228;1.665;9.028;-3.824;0.196;-4.271;-0.404;1.469;-1.029;-0.992;1.537;1.3;-21.1;17.1;48.65;717;2018-04-16 22:57:53:938
7.029;-4.634;-1.423;8.9;-4.119;-0.061;-2.418;-0.376;-0.269;-0.892;-1.031;1.725;1.4;-21.7;15.4;48.65;727;2018-04-16 22:57:53:948
7.029;-4.634;-1.423;8.9;-4.119;-0.061;-2.418;-0.376;-0.269;-0.992;-0.99;1.859;1.4;-21.7;15.4;48.65;738;2018-04-16 22:57:53:959
7.213;-4.099;-3.863;8.713;-4.482;-0.405;-1.5;0.383;-3.458;-1.547;-1.236;2.242;1.7;-21.6;17.1;48.65;748;2018-04-16 22:57:53:969
7.213;-4.099;-3.863;8.713;-4.482;-0.405;-1.5;0.383;-3.458;-1.547;-1.236;2.242;1.7;-21.6;17.1;48.65;757;2018-04-16 22:57:53:978
11.559;-4.593;0.237;8.402;-4.99;-0.818;3.157;0.397;1.055;-1.514;-1.664;3.46;1.3;-22.1;16.0;48.65;768;2018-04-16 22:57:53:989
11.559;-4.593;0.237;8.402;-4.99;-0.818;3.157;0.397;1.055;-1.514;-1.664;3.46;1.3;-22.1;16.0;48.65;778;2018-04-16 22:57:53:999
16.704;-6.8;1.267;7.998;-5.554;-1.164;8.707;-1.245;2.431;-1.274;-1.016;3.538;1.8;-22.5;17.8;48.65;788;2018-04-16 22:57:54:009
16.704;-6.8;1.267;7.998;-5.554;-1.164;8.707;-1.245;2.431;-1.382;-0.117;3.637;1.8;-22.5;17.8;48.65;798;2018-04-16 22:57:54:019
9.616;-9.363;-2.907;7.554;-6.118;-1.292;2.062;-3.244;-1.614;-1.599;0.742;4.098;1.7;-23.1;17.1;48.65;808;2018-04-16 22:57:54:029
9.616;-9.363;-2.907;7.554;-6.118;-1.292;2.062;-3.244;-1.614;-1.398;1.818;5.112;1.7;-23.1;17.1;48.65;818;2018-04-16 22:57:54:039
5.047;-9.003;-1.774;6.929;-6.834;-1.207;-1.882;-2.17;-0.567;-1.075;1.989;5.443;1.1;-22.3;17.0;48.65;827;2018-04-16 22:57:54:048
3.069;-8.151;-1.909;6.929;-6.834;-1.207;-1.882;-2.17;-0.567;0.219;1.381;6.38;1.1;-22.3;17.0;48.65;838;2018-04-16 22:57:54:059
3.069;-8.151;-1.909;6.019;-7.676;-1.011;-3.935;0.061;-1.458;0.219;1.381;6.38;0.9;-21.9;16.8;48.65;848;2018-04-16 22:57:54:069
0.85;-6.665;-1.098;6.019;-7.676;-1.011;-3.935;0.061;-1.458;1.084;-0.374;7.346;0.9;-21.9;16.8;48.65;858;2018-04-16 22:57:54:079
0.85;-6.665;-1.098;4.789;-8.512;-0.88;-4.732;2.752;1.761;1.521;-1.14;7.639;1.1;-21.9;16.8;48.65;868;2018-04-16 22:57:54:089
0.572;-4.007;1.816;4.789;-8.512;-0.88;-4.732;2.752;1.761;1.521;-1.14;7.639;1.1;-21.9;16.8;48.65;878;2018-04-16 22:57:54:099
0.572;-4.007;1.816;3.409;-9.176;-0.59;-2.841;5.275;2.63;2.428;-1.286;7.599;0.3;-21.4;16.9;48.65;888;2018-04-16 22:57:54:109
0.425;-3.901;0.735;3.409;-9.176;-0.59;-2.841;5.275;2.63;2.428;-1.286;7.599;0.3;-21.4;16.9;48.65;899;2018-04-16 22:57:54:120
0.425;-3.901;0.735;2.01;-9.597;-0.138;-2.051;6.073;2.47;2.673;-0.97;7.301;-1.2;-20.1;17.3;48.65;908;2018-04-16 22:57:54:129
0.373;-2.6;0.821;2.01;-9.597;-0.138;-2.051;6.073;2.47;2.673;-0.97;7.301;-1.2;-20.1;17.3;48.65;918;2018-04-16 22:57:54:139
0.718;-1.744;-0.536;0.732;-9.777;0.229;-0.014;8.032;-0.765;1.577;-0.182;6.299;-2.7;-17.5;17.8;48.65;929;2018-04-16 22:57:54:150
0.718;-1.744;-0.536;0.732;-9.777;0.229;-0.014;8.032;-0.765;1.577;-0.182;6.299;-2.7;-17.5;17.8;48.65;939;2018-04-16 22:57:54:160
0.718;-1.744;-0.536;0.732;-9.777;0.229;-0.014;8.032;-0.765;1.577;-0.182;6.299;-2.7;-17.5;17.8;48.65;948;2018-04-16 22:57:54:169
1.264;-0.195;-3.724;-0.255;-9.799;0.276;1.506;9.304;-3.133;-0.068;-1.244;4.64;-3.9;-14.2;17.0;48.65;958;2018-04-16 22:57:54:179
1.207;-0.743;-2.276;-0.941;-9.76;0.179;2.148;9.016;-2.454;-0.848;-3.447;3.366;-4.2;-12.8;17.5;48.65;968;2018-04-16 22:57:54:189
1.207;-0.743;-2.276;-0.941;-9.76;0.179;2.148;9.016;-2.454;-1.07;-4.177;2.96;-4.2;-12.8;17.5;48.65;978;2018-04-16 22:57:54:199
