sep=;
acc_x;acc_y;acc_z;grav_x;grav_y;grav_z;lin_acc_x;lin_acc_y;lin_acc_z;gyro_x;gyro_y;gyro_z;mag_x;mag_y;mag_z;sound_lvl;time_ms;date_time
-1.68;3.235;8.657;-1.976;3.04;9.112;0.296;0.195;-0.455;-0.056;-0.187;-0.299;-6.5;-30.7;9.7;53.83;16;2018-04-16 22:31:26:186
-1.681;3.077;8.8;-1.976;3.04;9.112;0.296;0.195;-0.455;0.076;-0.406;-0.316;-6.4;-30.7;9.7;53.83;26;2018-04-16 22:31:26:196
-1.681;3.077;8.8;-1.917;3.044;9.123;0.232;-0.039;-0.378;0.076;-0.406;-0.316;-6.4;-30.7;9.7;53.83;36;2018-04-16 22:31:26:206
-1.547;2.896;8.679;-1.87;3.056;9.129;0.324;-0.161;-0.45;0.217;-0.661;-0.296;-6.3;-30.8;9.6;51.15;46;2018-04-16 22:31:26:216
-1.547;2.896;8.679;-1.87;3.056;9.129;0.324;-0.161;-0.45;0.217;-0.661;-0.296;-6.3;-30.8;9.6;51.15;55;2018-04-16 22:31:26:225
-1.041;3.262;8.56;-1.721;3.103;9.142;0.679;0.159;-0.582;0.34;-0.979;-0.305;-6.1;-30.8;9.6;51.15;65;2018-04-16 22:31:26:235
-1.041;3.262;8.56;-1.721;3.103;9.142;0.679;0.159;-0.582;0.34;-0.979;-0.305;-6.1;-30.8;9.6;51.15;76;2018-04-16 22:31:26:246
-0.885;3.381;7.527;-1.537;3.152;9.158;1.164;0.276;-1.554;0.307;-1.179;-0.443;-6.0;-30.9;9.6;51.15;86;2018-04-16 22:31:26:256
-0.885;3.381;7.527;-1.537;3.152;9.158;1.164;0.276;-1.554;0.307;-1.179;-0.443;-6.0;-30.9;9.6;51.15;96;2018-04-16 22:31:26:266
0.494;3.03;7.752;-1.444;3.16;9.17;1.939;-0.13;-1.418;0.165;-1.112;-0.533;-5.8;-30.9;9.8;51.15;106;2018-04-16 22:31:26:276
0.494;3.03;7.752;-1.444;3.16;9.17;1.939;-0.13;-1.418;0.165;-1.112;-0.533;-5.8;-30.9;9.8;51.15;116;2018-04-16 22:31:26:286
-0.066;2.192;7.859;-1.309;3.113;9.207;1.243;-0.921;-1.348;-0.16;-1.032;-0.996;-5.5;-31.0;9.8;51.15;126;2018-04-16 22:31:26:296
-2.717;1.367;7.588;-1.309;3.113;9.207;1.243;-0.921;-1.348;-0.327;-1.175;-0.764;-5.3;-31.0;10.0;51.15;136;2018-04-16 22:31:26:306
