sep=;
acc_x;acc_y;acc_z;grav_x;grav_y;grav_z;lin_acc_x;lin_acc_y;lin_acc_z;gyro_x;gyro_y;gyro_z;mag_x;mag_y;mag_z;sound_lvl;time_ms;date_time
-0.438;2.814;10.087;0.011;2.87;9.377;-0.456;-0.016;0.531;-0.274;-0.064;-0.169;-4.1;-32.2;12.2;50.58;22;2018-04-16 22:40:59:346
-0.433;2.934;9.582;0.006;2.845;9.385;-0.44;0.09;0.197;-0.298;-0.002;-0.138;-4.1;-32.2;12.2;50.58;33;2018-04-16 22:40:59:357
-0.433;2.934;9.582;0.006;2.845;9.385;-0.44;0.09;0.197;-0.298;-0.002;-0.138;-4.1;-32.2;12.2;50.58;43;2018-04-16 22:40:59:367
-0.52;2.993;9.374;0.008;2.789;9.402;-0.452;0.213;-0.003;-0.305;-0.077;-0.132;-4.0;-32.2;12.1;50.58;53;2018-04-16 22:40:59:377
-0.369;3.013;9.395;0.008;2.789;9.402;-0.452;0.213;-0.003;-0.258;-0.151;-0.117;-4.0;-32.2;12.1;50.58;63;2018-04-16 22:40:59:387
-0.127;3.055;9.572;0.032;2.745;9.415;-0.234;0.315;0.058;-0.228;-0.202;-0.117;-3.8;-32.3;11.9;50.58;73;2018-04-16 22:40:59:397
-0.127;3.055;9.572;0.051;2.724;9.42;-0.145;0.323;0.202;-0.209;-0.232;-0.13;-3.7;-32.3;11.9;50.58;83;2018-04-16 22:40:59:407
-0.059;3.109;9.635;0.051;2.724;9.42;-0.145;0.323;0.202;-0.156;-0.253;-0.178;-3.7;-32.3;11.9;50.58;93;2018-04-16 22:40:59:417
-0.043;3.008;9.625;0.087;2.694;9.429;-0.131;0.314;0.196;-0.094;-0.304;-0.193;-3.6;-32.3;11.8;50.58;103;2018-04-16 22:40:59:427
-0.043;3.008;9.625;0.087;2.694;9.429;-0.131;0.314;0.196;-0.094;-0.304;-0.193;-3.6;-32.3;11.8;50.58;113;2018-04-16 22:40:59:437
