sep=;
acc_x;acc_y;acc_z;grav_x;grav_y;grav_z;lin_acc_x;lin_acc_y;lin_acc_z;gyro_x;gyro_y;gyro_z;mag_x;mag_y;mag_z;sound_lvl;time_ms;date_time
16.419;-2.837;10.472;9.256;-0.508;3.199;7.312;-2.262;6.881;1.657;-4.45;4.258;-2.4;-27.3;3.8;50.31;22;2018-04-16 23:03:37:449
16.718;-2.398;8.671;9.32;-0.793;2.945;7.397;-1.605;5.726;1.739;-3.141;3.956;-2.4;-27.2;4.0;50.31;31;2018-04-16 23:03:37:458
15.909;-1.595;6.402;9.371;-1.353;2.555;6.539;-0.242;3.847;1.889;-2.26;3.522;-2.4;-27.2;4.0;50.31;42;2018-04-16 23:03:37:469
15.909;-1.595;6.402;9.371;-1.353;2.555;6.539;-0.242;3.847;2.077;-1.878;3.244;-2.6;-27.0;4.2;50.31;52;2018-04-16 23:03:37:479
15.033;-1.401;3.955;9.363;-1.808;2.288;5.474;0.358;1.421;2.228;-1.789;2.996;-2.8;-26.9;4.2;50.31;61;2018-04-16 23:03:37:488
15.033;-1.401;3.955;9.363;-1.808;2.288;5.474;0.358;1.421;2.228;-1.789;2.996;-2.8;-26.9;4.2;50.31;72;2018-04-16 23:03:37:499
14.31;-1.735;3.065;9.352;-2.029;2.143;4.958;0.294;0.921;2.421;-1.908;2.731;-6.3;-26.0;7.5;50.31;82;2018-04-16 23:03:37:509
15.0;-0.639;2.878;9.309;-2.423;1.908;5.691;1.784;0.97;2.458;-1.867;2.654;-6.3;-26.0;7.5;50.31;92;2018-04-16 23:03:37:519
15.0;-0.639;2.878;9.309;-2.423;1.908;5.691;1.784;0.97;2.381;-1.664;2.571;-8.0;-24.4;10.1;50.31;102;2018-04-16 23:03:37:529
16.03;1.208;2.477;9.24;-2.768;1.767;6.959;4.5;0.569;2.286;-1.406;2.342;-8.8;-24.0;10.8;50.31;112;2018-04-16 23:03:37:539
16.343;2.545;2.065;9.24;-2.768;1.767;6.959;4.5;0.569;2.128;-1.053;1.781;-8.8;-24.0;10.8;50.31;121;2018-04-16 23:03:37:548
16.343;2.545;2.065;9.184;-2.978;1.716;6.833;6.267;-0.303;2.033;-0.811;1.33;-9.9;-22.7;10.9;50.31;132;2018-04-16 23:03:37:559
16.077;3.636;0.815;9.184;-2.978;1.716;6.833;6.267;-0.303;1.907;-0.608;0.871;-9.9;-22.7;10.9;50.31;142;2018-04-16 23:03:37:569
15.493;4.389;-0.747;9.167;-3.026;1.725;6.326;7.415;-2.472;1.708;-0.483;0.382;-10.2;-21.5;12.0;50.31;151;2018-04-16 23:03:37:578
15.493;4.389;-0.747;9.167;-3.026;1.725;6.326;7.415;-2.472;1.462;-0.452;-0.126;-10.3;-20.6;15.9;50.31;162;2018-04-16 23:03:37:589
13.748;4.778;-1.887;9.167;-3.026;1.725;6.326;7.415;-2.472;1.462;-0.452;-0.126;-10.3;-20.6;15.9;50.31;171;2018-04-16 23:03:37:598
13.154;4.149;-2.713;9.206;-2.911;1.717;4.235;7.597;-3.613;1.191;-0.484;-0.59;-10.4;-19.6;15.5;50.31;182;2018-04-16 23:03:37:609
13.154;4.149;-2.713;9.206;-2.911;1.717;4.235;7.597;-3.613;0.767;-0.579;-1.029;-10.4;-19.6;15.5;50.31;191;2018-04-16 23:03:37:618
12.598;3.393;-2.213;9.284;-2.695;1.65;3.315;6.087;-3.864;0.253;-0.547;-1.356;-9.8;-19.0;14.9;50.31;202;2018-04-16 23:03:37:629
10.543;2.569;-1.106;9.373;-2.42;1.565;0.838;4.877;-2.411;0.005;-0.4;-1.482;-9.8;-20.1;15.8;50.31;212;2018-04-16 23:03:37:639
9.816;2.379;-0.239;9.373;-2.42;1.565;0.838;4.877;-2.411;-0.133;-0.341;-1.504;-9.8;-20.1;15.8;50.31;222;2018-04-16 23:03:37:649
9.816;2.379;-0.239;9.373;-2.42;1.565;0.838;4.877;-2.411;-0.133;-0.341;-1.504;-9.4;-19.1;15.7;50.31;231;2018-04-16 23:03:37:658
9.816;2.379;-0.239;9.373;-2.42;1.565;0.838;4.877;-2.411;-0.133;-0.341;-1.504;-9.4;-19.1;15.7;50.31;242;2018-04-16 23:03:37:669
9.955;2.61;-0.049;9.464;-2.112;1.466;0.492;4.722;-1.515;-0.026;-0.514;-1.537;-9.6;-19.8;14.9;50.31;252;2018-04-16 23:03:37:679
8.339;1.126;-0.657;9.614;-1.57;1.129;-1.275;2.696;-1.786;1.002;-1.742;-1.861;-9.6;-19.8;14.9;50.31;261;2018-04-16 23:03:37:688
8.339;1.126;-0.657;9.614;-1.57;1.129;-1.275;2.696;-1.786;1.317;-2.2;-1.763;-8.7;-19.9;14.8;50.31;272;2018-04-16 23:03:37:699
6.586;-1.642;-3.542;9.702;-1.24;0.705;-3.621;-1.478;-5.765;1.317;-2.2;-1.763;-8.7;-19.9;14.8;50.31;282;2018-04-16 23:03:37:709
6.065;-4.657;-8.797;9.702;-1.24;0.705;-3.621;-1.478;-5.765;1.06;-2.649;-1.067;-7.3;-19.0;16.7;48.81;292;2018-04-16 23:03:37:719
