sep=;
acc_x;acc_y;acc_z;grav_x;grav_y;grav_z;lin_acc_x;lin_acc_y;lin_acc_z;gyro_x;gyro_y;gyro_z;mag_x;mag_y;mag_z;sound_lvl;time_ms;date_time
1.282;2.936;1.969;3.257;5.244;7.62;-1.975;-2.307;-5.651;0.841;-2.617;-0.186;1.8;-38.2;8.9;51.98;8;2018-04-16 23:32:56:402
1.282;2.936;1.969;3.257;5.244;7.62;-1.975;-2.307;-5.651;0.519;-2.674;0.043;4.2;-37.4;10.4;51.98;18;2018-04-16 23:32:56:412
2.532;2.576;2.55;3.682;5.282;7.397;-0.783;-2.786;-4.22;0.293;-2.768;0.119;4.2;-37.4;10.4;51.98;28;2018-04-16 23:32:56:422
3.225;2.447;4.132;3.682;5.282;7.397;-0.783;-2.786;-4.22;0.222;-2.713;0.138;5.7;-37.6;10.5;51.98;37;2018-04-16 23:32:56:431
3.225;2.447;4.132;4.047;5.296;7.193;-1.065;-2.839;-2.872;0.131;-2.252;0.119;5.7;-37.6;10.5;51.98;47;2018-04-16 23:32:56:441
2.462;2.368;3.869;4.047;5.296;7.193;-1.065;-2.839;-2.872;0.131;-2.252;0.119;7.4;-37.4;10.7;51.98;57;2018-04-16 23:32:56:451
2.081;2.302;3.494;4.184;5.29;7.119;-2.104;-2.988;-3.625;0.007;-1.98;0.18;7.4;-37.1;11.6;51.98;68;2018-04-16 23:32:56:462
2.081;2.302;3.494;4.184;5.29;7.119;-2.104;-2.988;-3.625;-0.161;-1.966;0.319;7.4;-37.1;11.6;51.98;77;2018-04-16 23:32:56:471
-0.034;0.879;2.464;4.512;5.222;6.967;-4.546;-4.344;-4.503;-0.161;-1.966;0.319;8.6;-37.0;10.8;51.98;87;2018-04-16 23:32:56:481
-1.626;-2.138;0.937;4.926;5.081;6.789;-6.552;-7.219;-5.852;-0.407;-2.277;0.733;8.6;-37.0;10.8;51.98;98;2018-04-16 23:32:56:492
-1.626;-2.138;0.937;4.926;5.081;6.789;-6.552;-7.219;-5.852;-0.398;-2.599;1.318;9.3;-36.5;11.1;51.98;108;2018-04-16 23:32:56:502
-2.201;-3.296;-0.797;5.223;4.966;6.651;-7.424;-8.261;-7.448;-0.36;-2.855;1.596;9.3;-36.5;11.1;51.98;117;2018-04-16 23:32:56:511
-1.375;-4.985;-1.767;6.036;4.635;6.185;-6.895;-10.03;-7.387;-0.181;-4.23;2.671;8.8;-36.3;9.4;51.98;127;2018-04-16 23:32:56:521
-1.375;-4.985;-1.767;6.036;4.635;6.185;-6.895;-10.03;-7.387;-0.181;-4.23;2.671;8.8;-36.3;9.4;51.98;138;2018-04-16 23:32:56:532
0.97;-6.541;-0.008;6.504;4.399;5.875;-5.535;-10.94;-5.884;-0.104;-5.519;4.066;9.5;-37.0;11.0;51.98;147;2018-04-16 23:32:56:541
4.708;-7.839;2.771;7.652;3.548;5.002;-2.944;-11.387;-2.231;-0.265;-6.459;5.56;9.5;-37.0;11.0;51.98;158;2018-04-16 23:32:56:552
4.708;-7.839;2.771;7.652;3.548;5.002;-2.944;-11.387;-2.231;-0.236;-6.671;6.379;9.0;-37.0;9.7;51.98;168;2018-04-16 23:32:56:562
7.894;-8.778;3.53;8.652;2.396;3.946;-0.222;-11.619;-0.344;-0.197;-6.544;6.969;8.5;-37.4;10.3;51.98;177;2018-04-16 23:32:56:571
7.894;-8.778;3.53;8.652;2.396;3.946;-0.222;-11.619;-0.344;-0.197;-6.544;6.969;8.5;-37.4;10.3;51.98;187;2018-04-16 23:32:56:581
9.602;-10.63;4.051;9.068;1.663;3.344;0.534;-12.293;0.707;-0.137;-6.228;7.497;7.6;-37.9;9.1;51.98;197;2018-04-16 23:32:56:591
13.696;-11.645;4.488;9.542;0.19;2.257;4.154;-11.835;2.231;0.202;-5.679;8.023;7.6;-37.9;9.1;51.98;208;2018-04-16 23:32:56:602
13.696;-11.645;4.488;9.542;0.19;2.257;4.154;-11.835;2.231;0.202;-5.679;8.023;7.4;-37.4;10.1;51.98;218;2018-04-16 23:32:56:612
17.131;-10.628;4.09;9.628;-1.355;1.281;8.449;-9.072;2.698;0.428;-5.14;8.143;7.4;-37.4;10.1;51.98;228;2018-04-16 23:32:56:622
17.131;-10.628;4.09;9.628;-1.355;1.281;8.449;-9.072;2.698;0.428;-5.14;8.143;7.3;-37.3;10.3;51.98;238;2018-04-16 23:32:56:632
19.354;-10.327;4.025;9.551;-2.031;0.911;9.803;-8.297;3.113;0.335;-4.313;7.797;7.3;-37.3;10.3;51.98;248;2018-04-16 23:32:56:642
20.839;-10.361;5.177;9.198;-3.385;0.314;11.641;-6.976;4.864;-0.266;-2.666;6.961;6.0;-37.4;10.2;51.98;257;2018-04-16 23:32:56:651
20.839;-10.361;5.177;9.198;-3.385;0.314;11.641;-6.976;4.864;-0.555;-1.75;6.509;6.0;-37.4;10.2;51.86;268;2018-04-16 23:32:56:662
21.706;-9.853;6.843;8.704;-4.518;0.025;13.412;-5.093;7.184;-0.759;-0.772;6.056;3.3;-36.9;10.4;51.86;278;2018-04-16 23:32:56:672
21.706;-9.853;6.843;8.704;-4.518;0.025;13.412;-5.093;7.184;-0.759;-0.772;6.056;3.3;-36.9;10.4;51.86;287;2018-04-16 23:32:56:681
22.916;-9.315;7.726;8.422;-5.023;0.042;14.494;-4.292;7.685;-0.909;0.679;5.326;-0.3;-36.1;9.6;51.86;297;2018-04-16 23:32:56:691
22.916;-9.315;7.726;8.422;-5.023;0.042;14.494;-4.292;7.685;-0.909;0.679;5.326;-0.3;-36.1;9.6;51.86;307;2018-04-16 23:32:56:701
23.885;-8.147;8.144;7.922;-5.775;0.232;15.962;-2.372;7.912;-0.869;2.038;4.423;-2.9;-35.0;9.8;51.86;317;2018-04-16 23:32:56:711
24.108;-7.403;7.201;7.43;-6.377;0.542;16.713;-0.908;6.364;-0.784;2.657;3.902;-2.9;-35.0;9.8;51.86;328;2018-04-16 23:32:56:722
