sep=;
acc_x;acc_y;acc_z;grav_x;grav_y;grav_z;lin_acc_x;lin_acc_y;lin_acc_z;gyro_x;gyro_y;gyro_z;mag_x;mag_y;mag_z;sound_lvl;time_ms;date_time
22.582;-9.698;10.642;8.931;-3.933;0.967;12.488;-6.59;9.838;1.637;-2.863;6.81;-9.1;-20.9;17.0;51.16;19;2018-04-16 23:29:17:808
22.582;-9.698;10.642;8.643;-4.569;0.769;14.753;-4.407;9.673;1.637;-2.863;6.81;-11.2;-19.1;18.2;51.16;29;2018-04-16 23:29:17:818
22.582;-9.698;10.642;8.643;-4.569;0.769;14.753;-4.407;9.673;1.637;-2.863;6.81;-11.2;-19.1;18.2;51.16;40;2018-04-16 23:29:17:829
25.637;-6.504;9.401;8.379;-5.047;0.702;15.017;-3.929;9.74;1.914;-1.949;6.371;-13.3;-19.5;17.9;51.16;50;2018-04-16 23:29:17:839
29.354;-2.363;6.545;8.379;-5.047;0.702;15.017;-3.929;9.74;1.665;0.652;4.363;-17.1;-16.5;18.2;51.16;60;2018-04-16 23:29:17:849
29.354;-2.363;6.545;7.609;-6.08;1.141;22.439;4.26;5.058;0.999;1.993;3.385;-17.1;-16.5;18.2;51.16;69;2018-04-16 23:29:17:858
30.387;-1.228;5.14;7.609;-6.08;1.141;22.439;4.26;5.058;-0.327;4.314;1.692;-18.9;-14.9;19.3;51.16;80;2018-04-16 23:29:17:869
27.417;-1.012;3.582;7.281;-6.336;1.736;21.777;5.283;2.206;-0.327;4.314;1.692;-18.9;-14.9;19.3;51.16;90;2018-04-16 23:29:17:879
27.417;-1.012;3.582;7.281;-6.336;1.736;21.777;5.283;2.206;-1.401;5.776;0.045;-20.8;-13.8;18.1;51.16;100;2018-04-16 23:29:17:889
21.489;-2.083;3.745;7.085;-6.344;2.392;14.404;4.261;1.352;-1.654;6.067;-0.742;-20.8;-13.8;18.1;51.16;109;2018-04-16 23:29:17:898
15.483;-4.616;4.478;7.085;-6.344;2.392;14.404;4.261;1.352;-1.488;5.802;-1.236;-21.0;-14.2;17.5;51.16;119;2018-04-16 23:29:17:908
15.483;-4.616;4.478;6.957;-6.218;3.017;6.784;0.675;1.37;-0.99;5.214;-1.432;-21.0;-14.2;17.5;51.16;129;2018-04-16 23:29:17:918
10.776;-7.251;4.201;6.957;-6.218;3.017;6.784;0.675;1.37;-0.99;5.214;-1.432;-23.3;-15.8;14.2;51.16;139;2018-04-16 23:29:17:928
8.576;-8.274;4.622;6.874;-6.041;3.525;1.702;-2.234;1.097;0.352;3.185;-1.174;-22.4;-14.6;11.0;51.16;149;2018-04-16 23:29:17:938
8.576;-8.274;4.622;6.874;-6.041;3.525;1.702;-2.234;1.097;0.352;3.185;-1.174;-22.4;-14.6;11.0;51.16;160;2018-04-16 23:29:17:949
7.009;-7.531;4.902;6.843;-5.845;3.896;-0.037;-1.452;0.827;1.403;1.488;-0.655;-23.3;-16.5;11.8;51.16;170;2018-04-16 23:29:17:959
6.552;-6.925;4.262;6.843;-5.845;3.896;-0.037;-1.452;0.827;2.319;0.023;-0.127;-23.3;-16.5;11.8;51.16;180;2018-04-16 23:29:17:969
6.552;-6.925;4.262;6.864;-5.655;4.132;-0.036;-1.096;-0.863;2.926;-1.108;0.468;-22.6;-15.9;14.4;51.16;190;2018-04-16 23:29:17:979
7.737;-5.906;0.189;6.885;-5.591;4.183;0.851;-0.315;-3.994;2.938;-1.506;0.86;-23.5;-15.5;11.8;51.16;201;2018-04-16 23:29:17:990
7.737;-5.906;0.189;6.885;-5.591;4.183;0.851;-0.315;-3.994;2.938;-1.506;0.86;-23.5;-15.5;11.8;51.16;209;2018-04-16 23:29:17:998
9.111;-4.271;-3.077;6.957;-5.546;4.125;2.313;1.496;-5.866;2.27;-2.243;1.067;-24.1;-15.8;14.0;51.16;219;2018-04-16 23:29:18:008
9.111;-4.271;-3.077;6.957;-5.546;4.125;2.313;1.496;-5.866;2.27;-2.243;1.067;-24.1;-15.8;14.0;51.16;229;2018-04-16 23:29:18:018
11.378;-3.734;4.509;7.065;-5.629;3.816;5.602;2.301;3.56;1.12;-3.148;1.299;-22.9;-14.4;15.1;51.16;239;2018-04-16 23:29:18:028
12.602;-2.516;6.908;7.17;-5.619;3.63;5.431;3.103;3.278;1.933;-3.884;0.888;-22.9;-13.9;16.2;51.16;249;2018-04-16 23:29:18:038
12.602;-2.516;6.908;7.17;-5.619;3.63;5.431;3.103;3.278;1.933;-3.884;0.888;-22.9;-13.9;16.2;51.16;259;2018-04-16 23:29:18:048
10.4;-3.253;3.19;7.448;-5.41;3.381;2.402;2.326;0.249;3.398;-4.396;-0.227;-22.1;-13.5;18.4;51.16;269;2018-04-16 23:29:18:058
7.864;-3.807;1.786;7.593;-5.29;3.246;0.271;1.483;-1.46;3.398;-4.396;-0.227;-22.1;-13.5;18.4;51.16;279;2018-04-16 23:29:18:068
7.864;-3.807;1.786;7.593;-5.29;3.246;0.271;1.483;-1.46;3.207;-3.71;-0.15;-22.2;-13.3;18.6;51.16;290;2018-04-16 23:29:18:079
7.73;-1.516;0.419;7.825;-5.08;3.022;-0.095;3.565;-2.603;2.767;-3.189;-0.111;-22.2;-13.3;18.6;51.16;299;2018-04-16 23:29:18:088
7.217;-0.763;1.076;7.825;-5.08;3.022;-0.095;3.565;-2.603;2.074;-3.032;-0.54;-21.5;-12.5;21.2;51.16;310;2018-04-16 23:29:18:099
7.217;-0.763;1.076;8.046;-4.886;2.749;-1.013;4.257;-1.478;2.074;-3.032;-0.54;-21.5;-12.5;21.2;51.16;319;2018-04-16 23:29:18:108
6.881;-0.244;1.326;8.046;-4.886;2.749;-1.013;4.257;-1.478;1.934;-2.96;-0.777;-21.2;-11.5;20.1;51.16;330;2018-04-16 23:29:18:119
6.881;-0.244;1.326;8.301;-4.625;2.424;-1.99;4.339;-1.15;1.911;-3.102;-1.004;-21.2;-11.5;20.1;51.16;339;2018-04-16 23:29:18:128
5.298;-0.763;1.265;8.301;-4.625;2.424;-1.99;4.339;-1.15;1.864;-3.321;-1.186;-19.1;-10.7;23.3;50.28;349;2018-04-16 23:29:18:138
5.298;-0.763;1.265;8.545;-4.366;2.023;-5.81;2.266;-1.548;1.864;-3.321;-1.186;-19.1;-10.7;23.3;50.28;359;2018-04-16 23:29:18:148
5.298;-0.763;1.265;8.545;-4.366;2.023;-5.81;2.266;-1.548;1.864;-3.321;-1.186;-19.1;-10.7;23.3;50.28;370;2018-04-16 23:29:18:159
5.298;-0.763;1.265;8.545;-4.366;2.023;-5.81;2.266;-1.548;1.864;-3.321;-1.186;-19.1;-10.7;23.3;50.28;380;2018-04-16 23:29:18:169
5.298;-0.763;1.265;8.545;-4.366;2.023;-5.81;2.266;-1.548;1.864;-3.321;-1.186;-19.1;-10.7;23.3;50.28;390;2018-04-16 23:29:18:179
5.298;-0.763;1.265;8.545;-4.366;2.023;-5.81;2.266;-1.548;1.864;-3.321;-1.186;-19.1;-10.7;23.3;50.28;400;2018-04-16 23:29:18:189
5.298;-0.763;1.265;8.545;-4.366;2.023;-5.81;2.266;-1.548;1.864;-3.321;-1.186;-19.1;-10.7;23.3;50.28;410;2018-04-16 23:29:18:199
5.298;-0.763;1.265;8.545;-4.366;2.023;-5.81;2.266;-1.548;1.864;-3.321;-1.186;-19.1;-10.7;23.3;50.28;419;2018-04-16 23:29:18:208
5.298;-0.763;1.265;8.545;-4.366;2.023;-5.81;2.266;-1.548;1.864;-3.321;-1.186;-19.1;-10.7;23.3;50.28;429;2018-04-16 23:29:18:218
5.298;-0.763;1.265;8.545;-4.366;2.023;-5.81;2.266;-1.548;1.864;-3.321;-1.186;-19.1;-10.7;23.3;50.28;439;2018-04-16 23:29:18:228
5.298;-0.763;1.265;8.545;-4.366;2.023;-5.81;2.266;-1.548;1.864;-3.321;-1.186;-19.1;-10.7;23.3;50.28;449;2018-04-16 23:29:18:238
5.298;-0.763;1.265;8.545;-4.366;2.023;-5.81;2.266;-1.548;1.864;-3.321;-1.186;-19.1;-10.7;23.3;50.28;459;2018-04-16 23:29:18:248
5.298;-0.763;1.265;8.545;-4.366;2.023;-5.81;2.266;-1.548;1.864;-3.321;-1.186;-19.1;-10.7;23.3;50.28;470;2018-04-16 23:29:18:259
5.298;-0.763;1.265;8.545;-4.366;2.023;-5.81;2.266;-1.548;1.864;-3.321;-1.186;-19.1;-10.7;23.3;50.28;479;2018-04-16 23:29:18:268
5.298;-0.763;1.265;8.545;-4.366;2.023;-5.81;2.266;-1.548;1.864;-3.321;-1.186;-19.1;-10.7;23.3;50.28;489;2018-04-16 23:29:18:278
5.298;-0.763;1.265;8.545;-4.366;2.023;-5.81;2.266;-1.548;1.864;-3.321;-1.186;-19.1;-10.7;23.3;50.28;499;2018-04-16 23:29:18:288
5.298;-0.763;1.265;8.545;-4.366;2.023;-5.81;2.266;-1.548;1.864;-3.321;-1.186;-19.1;-10.7;23.3;50.28;509;2018-04-16 23:29:18:298
5.298;-0.763;1.265;8.545;-4.366;2.023;-5.81;2.266;-1.548;1.864;-3.321;-1.186;-19.1;-10.7;23.3;50.28;519;2018-04-16 23:29:18:308
5.298;-0.763;1.265;8.545;-4.366;2.023;-5.81;2.266;-1.548;1.864;-3.321;-1.186;-19.1;-10.7;23.3;50.28;530;2018-04-16 23:29:18:319
5.298;-0.763;1.265;8.545;-4.366;2.023;-5.81;2.266;-1.548;1.864;-3.321;-1.186;-19.1;-10.7;23.3;50.28;540;2018-04-16 23:29:18:329
2.676;-2.124;0.984;8.635;-4.279;1.818;-5.994;2.197;-0.528;1.058;-2.844;-0.874;-17.8;-8.8;25.2;50.28;550;2018-04-16 23:29:18:339
4.42;-7.555;0.432;9.24;-3.198;-0.755;-4.82;-4.357;1.187;-0.586;-0.882;1.009;-8.1;-8.7;32.2;50.28;560;2018-04-16 23:29:18:349
5.128;-5.687;-0.142;9.169;-3.368;-0.867;-4.041;-2.32;0.724;-0.735;-0.849;1.751;-8.1;-8.7;32.2;50.28;569;2018-04-16 23:29:18:358
4.083;-4.821;0.378;9.088;-3.552;-0.98;-5.005;-1.268;1.358;-0.919;-1.02;2.319;-7.2;-9.0;32.5;50.28;579;2018-04-16 23:29:18:368
4.083;-4.821;0.378;9.088;-3.552;-0.98;-5.005;-1.268;1.358;-0.856;-0.276;3.344;-7.2;-9.0;32.5;50.28;590;2018-04-16 23:29:18:379
4.105;-5.065;-1.245;8.827;-4.111;-1.165;-4.722;-0.954;-0.08;-0.859;-0.103;4.217;-8.0;-8.6;30.4;50.28;600;2018-04-16 23:29:18:389
4.65;-5.517;-2.313;8.827;-4.111;-1.165;-4.722;-0.954;-0.08;-0.959;-0.523;5.446;-8.0;-8.6;30.4;50.28;609;2018-04-16 23:29:18:398
4.65;-5.517;-2.313;8.322;-5.012;-1.34;-2.93;-1.098;-1.076;-1.07;-1.025;6.634;-9.7;-9.2;30.6;50.28;619;2018-04-16 23:29:18:408
9.413;-8.187;-2.444;8.322;-5.012;-1.34;-2.93;-1.098;-1.076;-1.049;-1.361;7.565;-9.7;-9.2;30.6;50.28;629;2018-04-16 23:29:18:418
12.645;-10.61;0.108;7.448;-6.164;-1.643;4.851;-4.42;1.173;-0.58;-0.527;8.034;-9.6;-8.7;30.9;50.28;640;2018-04-16 23:29:18:429
12.645;-10.61;0.108;7.448;-6.164;-1.643;4.851;-4.42;1.173;0.486;0.711;7.935;-9.6;-8.7;30.9;50.28;650;2018-04-16 23:29:18:439
9.875;-8.401;-2.421;6.394;-7.279;-1.517;3.48;-1.123;-0.903;1.655;0.358;7.819;-9.7;-8.5;31.1;50.28;659;2018-04-16 23:29:18:448
3.45;-7.587;-5.661;6.394;-7.279;-1.517;3.48;-1.123;-0.903;2.385;-1.317;8.16;-9.7;-8.5;31.1;50.76;669;2018-04-16 23:29:18:458
3.45;-7.587;-5.661;5.088;-8.283;-1.293;-2.229;1.407;-3.267;2.825;-3.085;8.629;-9.5;-8.5;31.3;50.76;679;2018-04-16 23:29:18:468
2.247;-5.26;-3.02;4.224;-8.769;-1.196;-1.977;3.509;-1.824;3.406;-4.296;8.676;-9.5;-8.5;31.3;50.76;690;2018-04-16 23:29:18:479
1.881;-3.619;0.013;4.224;-8.769;-1.196;-1.977;3.509;-1.824;4.012;-4.742;8.59;-10.0;-7.6;31.7;50.76;700;2018-04-16 23:29:18:489
1.881;-3.619;0.013;2.566;-9.433;-0.781;-0.697;5.853;0.641;4.429;-4.6;8.463;-10.0;-7.6;31.7;50.76;709;2018-04-16 23:29:18:498
