sep=;
acc_x;acc_y;acc_z;grav_x;grav_y;grav_z;lin_acc_x;lin_acc_y;lin_acc_z;gyro_x;gyro_y;gyro_z;mag_x;mag_y;mag_z;sound_lvl;time_ms;date_time
3.454;-7.375;-1.459;7.353;2.917;5.796;-3.899;-10.292;-7.255;-0.304;-6.656;4.652;-0.8;-32.6;10.0;51.2;14;2018-04-16 23:34:40:775
6.725;-8.298;-0.063;8.35;2.041;4.72;-0.634;-10.588;-4.377;-0.391;-6.856;5.06;-0.5;-32.6;9.8;51.2;24;2018-04-16 23:34:40:785
9.42;-9.195;1.014;8.728;1.61;4.17;0.692;-10.805;-3.156;-0.27;-7.12;5.389;-0.5;-32.6;9.8;51.2;34;2018-04-16 23:34:40:795
9.42;-9.195;1.014;8.728;1.61;4.17;0.692;-10.805;-3.156;-0.061;-7.203;5.542;-0.2;-32.7;9.6;51.2;43;2018-04-16 23:34:40:804
11.137;-11.347;2.187;9.358;0.599;2.87;1.779;-11.946;-0.683;-0.061;-7.203;5.542;-0.2;-32.7;9.6;51.2;56;2018-04-16 23:34:40:817
11.137;-11.347;2.187;9.358;0.599;2.87;1.779;-11.946;-0.683;-0.013;-7.097;5.704;-0.1;-32.7;9.6;51.2;64;2018-04-16 23:34:40:825
11.398;-13.18;4.519;9.661;-0.553;1.591;1.902;-12.956;3.534;-0.18;-6.42;6.223;0.0;-32.7;9.4;51.2;74;2018-04-16 23:34:40:835
13.5;-14.03;6.147;9.674;-1.275;0.979;3.826;-12.755;5.168;-0.324;-5.753;6.77;0.0;-32.7;9.4;51.2;84;2018-04-16 23:34:40:845
13.5;-14.03;6.147;9.674;-1.275;0.979;3.826;-12.755;5.168;-0.492;-4.68;7.412;0.0;-32.7;9.2;51.2;93;2018-04-16 23:34:40:854
20.863;-13.182;9.43;9.426;-2.705;0.065;11.437;-10.477;9.364;-0.401;-3.861;7.473;0.0;-32.7;9.2;51.2;105;2018-04-16 23:34:40:866
20.863;-13.182;9.43;9.426;-2.705;0.065;11.437;-10.477;9.364;-0.401;-3.861;7.473;0.0;-32.7;9.2;51.2;114;2018-04-16 23:34:40:875
29.173;-8.833;11.111;8.929;-4.028;-0.464;20.244;-4.806;11.576;-0.062;-2.37;7.055;-0.2;-32.5;9.1;50.97;124;2018-04-16 23:34:40:885
29.173;-8.833;11.111;8.929;-4.028;-0.464;20.244;-4.806;11.576;-0.062;-2.37;7.055;-0.2;-32.5;9.1;50.97;133;2018-04-16 23:34:40:894
34.947;-3.814;10.259;8.407;-5.017;-0.571;27.133;1.879;10.262;0.209;-0.793;5.834;-1.2;-32.2;8.7;50.97;143;2018-04-16 23:34:40:904
35.335;-2.374;8.468;8.407;-5.017;-0.571;27.133;1.879;10.262;0.285;0.82;3.69;-6.7;-29.4;10.3;50.97;153;2018-04-16 23:34:40:914
35.335;-2.374;8.468;8.113;-5.499;-0.337;24.24;3.144;8.503;0.296;1.552;2.228;-6.7;-29.4;10.3;50.97;164;2018-04-16 23:34:40:925
